Date,Symbol,Company Name,Type,Split Ratio
"Dec 29, 2021",BRFH,Barfresh Food Group Inc,Reverse,1 for 13
"Dec 23, 2021",ZMENY,Zhangmen Education Inc,Reverse,1 for 8
"Dec 23, 2021",VSA,Visionsys Ai Inc,Reverse,1 for 5
"Dec 22, 2021",CENN,Cenntro Inc,Reverse,1 for 15
"Dec 17, 2021",TCBP,Tc Biopharm (holdings) PLC,Reverse,1 for 10
"Dec 14, 2021",BORR,Borr Drilling Ltd.,Reverse,1 for 2
"Dec 13, 2021",DPSI,Decisionpoint Systems Inc,Reverse,1 for 2
"Dec 10, 2021",QTT,Qutoutiao Inc,Reverse,1 for 10
"Dec 6, 2021",IDR,Idaho Strategic Resources Inc,Reverse,1 for 14
"Nov 30, 2021",SKM,Sk Telecom Co Ltd.,Reverse,1 for 1.65
"Nov 29, 2021",MODD,Modular Medical Inc,Reverse,1 for 3
"Nov 17, 2021",YQ,17 Education & Technology Group Inc,Reverse,1 for 4
"Nov 2, 2021",SURG,Surgepays Inc,Reverse,1 for 50
"Oct 27, 2021",BRTX,Biorestorative Therapies Inc,Reverse,"1 for 4,000"
"Oct 25, 2021",AUST,Austin Gold Corp,Reverse,1 for 3
"Oct 18, 2021",LGMK,Logicmark Inc,Reverse,1 for 10
"Oct 4, 2021",XPRO,Expro Group Holdings Nv,Reverse,1 for 6
"Oct 1, 2021",USWS,Us Well Services Inc,Reverse,1 for 3.5
"Sep 24, 2021",QNRX,Quoin Pharmaceuticals Ltd.,Reverse,1 for 4
"Sep 16, 2021",SONM,Sonim Technologies Inc,Reverse,1 for 10
"Sep 13, 2021",ENTO,Entero Therapeutics Inc,Reverse,1 for 10
"Sep 9, 2021",CLRD,Clearday Inc,Reverse,1 for 3.77
"Sep 8, 2021",JAGX,Jaguar Health Inc,Reverse,1 for 3
"Aug 31, 2021",STG,Sunlands Technology Group,Reverse,1 for 12.5
"Aug 31, 2021",GRCE,Grace Therapeutics Inc,Reverse,1 for 8
"Aug 30, 2021",ZBAI,Atif Holdings Ltd.,Reverse,1 for 5
"Aug 27, 2021",WHWK,Whitehawk Therapeutics Inc,Reverse,1 for 15
"Aug 26, 2021",BCIC,Bcp Investment Corp,Reverse,1 for 10
"Aug 20, 2021",AZ,A2z Cust2mate Solutions Corp,Reverse,1 for 3
"Aug 20, 2021",ATXS,Astria Therapeutics Inc,Reverse,1 for 6
"Aug 17, 2021",BTCS,Btcs Inc,Reverse,1 for 10
"Aug 13, 2021",GCTK,Glucotrack Inc,Reverse,1 for 13
"Aug 10, 2021",SPRC,Scisparc Ltd.,Reverse,1 for 140.06
"Aug 9, 2021",ODYS,Odysightai Inc,Reverse,1 for 9
"Aug 4, 2021",WKSP,Worksport Ltd.,Reverse,1 for 20
"Aug 2, 2021",SWI,Solarwinds Corp,Reverse,1 for 2
"Aug 2, 2021",GE,Ge Aerospace,Reverse,1 for 8
"Jul 28, 2021",SBET,Sharplink Gaming Ltd.,Reverse,1 for 2
"Jul 27, 2021",INDP,Indaptus Therapeutics Inc,Reverse,1 for 4
