Date,Symbol,Company Name,Type,Split Ratio
"Dec 31, 2010",GTIM,Good Times Restaurants Inc,Reverse,1 for 3
"Dec 30, 2010",NOVB,North Valley Bancorp,Reverse,1 for 5
"Dec 30, 2010",HSKA,Heska Corp,Reverse,1 for 10
"Dec 29, 2010",NOVT,Novanta Inc,Reverse,1 for 3
"Dec 29, 2010",ATNY,Api Technologies Corp,Reverse,1 for 4
"Dec 28, 2010",WINT,Windtree Therapeutics Inc,Reverse,1 for 15
"Dec 28, 2010",PCBC,Pacific Capital Bancorp,Reverse,1 for 100
"Dec 22, 2010",UNTKQ,Unitek Global Services Inc,Reverse,1 for 2
"Dec 21, 2010",CCGM,China Cgame Inc,Reverse,1 for 4
"Dec 16, 2010",QADB,Qad Inc,Reverse,1 for 2
"Dec 13, 2010",INUV,Inuvo Inc,Reverse,1 for 10
"Dec 10, 2010",UNXLQ,Uni-pixel,Reverse,1 for 15
"Dec 3, 2010",PTIX,Protagenic Therapeutics Inc,Reverse,1 for 4
"Nov 30, 2010",TSRI,Tsr Inc,Reverse,1 for 2
"Nov 30, 2010",HBOS,Heritage Financial Group Inc,Reverse,1 for 1.19
"Nov 22, 2010",CACB,Cascade Bancorp,Reverse,1 for 10
"Nov 19, 2010",RVM,Revett Minerals Inc,Reverse,1 for 5
"Nov 19, 2010",LGND,Ligand Pharmaceuticals Inc,Reverse,1 for 6
"Nov 18, 2010",ENDRQ,Endeavour International Corp,Reverse,1 for 7
"Nov 18, 2010",ATIS,Attis Industries Inc,Reverse,1 for 7
"Nov 16, 2010",SBRA,Sabra Health Care Reit Inc,Reverse,1 for 3
"Nov 16, 2010",BNSSA,Bns Holding Inc,Reverse,1 for 20
"Nov 11, 2010",UNTKQ,Unitek Global Services Inc,Reverse,1 for 28
"Nov 10, 2010",JCDAF,Jacada Ltd.,Reverse,1 for 4
"Nov 10, 2010",GKNT,Geeknet Inc,Reverse,1 for 10
"Nov 10, 2010",CHMT,Chemtura Corp,Reverse,1 for 69.44
"Nov 8, 2010",OPHC,Optimumbank Holdings Inc,Reverse,1 for 4
"Nov 5, 2010",TPLMQ,Triangle Petroleum Corp,Reverse,1 for 10
"Nov 4, 2010",UFI,Unifi Inc,Reverse,1 for 3
"Nov 4, 2010",ABUS,Arbutus Biopharma Corp,Reverse,1 for 5
"Oct 31, 2010",OBTLY,Orbital Corp Ltd.,Reverse,1 for 10
"Oct 18, 2010",CDTI,Cdti Advanced Materials Inc,Reverse,1 for 6
"Oct 15, 2010",AIRI,Air Industries Group,Reverse,1 for 400
"Oct 4, 2010",DLGC,Dialogic Inc,Reverse,1 for 5
"Oct 1, 2010",YELLQ,Yellow Corp,Reverse,1 for 25
"Oct 1, 2010",XCRA,Xcerra Corp,Reverse,1 for 3
"Sep 28, 2010",OGEN,Oragenics Inc,Reverse,1 for 20
"Sep 27, 2010",PTNT,Palatin Technologies Inc,Reverse,1 for 10
"Sep 22, 2010",GRMS,Green Energy Management Services Holdings Inc,Reverse,1 for 3
"Sep 21, 2010",ICGN,Icagen Inc,Reverse,1 for 8
"Sep 16, 2010",BIMI,Bimi Holdings Inc,Reverse,1 for 2.5
"Sep 15, 2010",ONBI,One Bio Corp,Reverse,1 for 5
"Sep 13, 2010",TLON,Talon Therapeutics Inc,Reverse,1 for 4
"Sep 8, 2010",IAGI,Asura Development Group Inc,Reverse,1 for 40
"Sep 7, 2010",LIVE,Live Ventures Inc,Reverse,1 for 10
"Sep 2, 2010",IBCP,Independent Bank Corp,Reverse,1 for 10
"Aug 31, 2010",BNVIQ,Bionovo Inc,Reverse,1 for 5
"Aug 30, 2010",AFOP,Alliance Fiber Optic Products Inc,Reverse,1 for 5
"Aug 27, 2010",THMO,Thermogenesis Holdings Inc,Reverse,1 for 4
"Aug 27, 2010",ALAN,Alanco Technologies Inc,Reverse,1 for 8
"Aug 23, 2010",AMIEQ,Ambassadors International Inc,Reverse,1 for 8
"Aug 20, 2010",EVEIQ,Evergreen Energy Inc,Reverse,1 for 12
"Aug 18, 2010",XOMA,Xoma Royalty Corp,Reverse,1 for 15
"Aug 16, 2010",TGISQ,Thomas Group Inc,Reverse,1 for 5
"Aug 16, 2010",MERR,Merriman Holdings Inc,Reverse,1 for 7
"Aug 16, 2010",FFCO,Fedfirst Financial Corp,Reverse,1 for 2
"Aug 13, 2010",SAR,Saratoga Investment Corp,Reverse,1 for 10
"Aug 10, 2010",KGJI,Kingold Jewelry Inc,Reverse,1 for 2
"Aug 6, 2010",PPPMF,Primero Mining Corp,Reverse,1 for 20
"Jul 29, 2010",HEWA,Healthwarehousecom Inc,Reverse,1 for 20
"Jul 29, 2010",GLBS,Globus Maritime Ltd.,Reverse,1 for 4
"Jul 26, 2010",NVTP,Novt Corp,Reverse,1 for 100
"Jul 22, 2010",ATRX,Adhera Therapeutics Inc,Reverse,1 for 4
"Jul 19, 2010",CALL,Magicjack Vocaltec Ltd.,Reverse,1 for 5
"Jul 16, 2010",BDCO,Blue Dolphin Energy Co.,Reverse,1 for 7
"Jul 7, 2010",NEXM,Nexmetals Mining Corp,Reverse,1 for 2
"Jul 6, 2010",GBLI,Global Indemnity Group LLC,Reverse,1 for 2
"Jul 2, 2010",XTNT,Xtant Medical Holdings Inc,Reverse,1 for 2
"Jul 2, 2010",VTSS,Vitesse Semiconductor Corp,Reverse,1 for 20
"Jul 1, 2010",WLMSQ,Williams Industrial Services Group Inc,Reverse,1 for 9
"Jul 1, 2010",EQC,Equity Commonwealth,Reverse,1 for 4
"Jul 1, 2010",CASI,Casi Pharmaceuticals Inc,Reverse,1 for 11
"Jun 22, 2010",NCOC,National Coal Corp,Reverse,1 for 4
"Jun 22, 2010",LGHS,Longhai Steel Inc,Reverse,1 for 125
"Jun 22, 2010",ICOPQ,Icop Digital Inc,Reverse,1 for 10
"Jun 21, 2010",SEELQ,Seelos Therapeutics Inc,Reverse,1 for 15
"Jun 18, 2010",PDEX,Pro Dex Inc,Reverse,1 for 3
"Jun 17, 2010",OCNF,Oceanfreight Inc,Reverse,1 for 3
"Jun 15, 2010",TRAC,Track Data Corp,Reverse,1 for 25
"Jun 11, 2010",ARBX,Arbinet Corp,Reverse,1 for 4
"Jun 7, 2010",SOQDF,Sonde Resources Corp,Reverse,1 for 5
"Jun 2, 2010",ETFC,E Trade Financial Corp,Reverse,1 for 10
"Jun 2, 2010",APTOF,Aptose Biosciences Inc,Reverse,1 for 30
"May 28, 2010",FBC,Flagstar Bancorp Inc,Reverse,1 for 10
"May 26, 2010",XRM,Xerium Technologies Inc,Reverse,1 for 20
"May 25, 2010",DYNIQ,Dynegy Inc,Reverse,1 for 5
"May 19, 2010",CADMQ,Cardima Inc,Reverse,1 for 10
"May 17, 2010",PRXM,Proxim Wireless Corp,Reverse,1 for 100
"May 13, 2010",DARA,Dara Biosciences Inc,Reverse,1 for 16
"May 11, 2010",DSTI,Daystar Technologies Inc,Reverse,1 for 9
"May 10, 2010",NEOM,Neomedia Technologies Inc,Reverse,1 for 100
"May 7, 2010",SCEIQ,Sino Clean Energy Inc,Reverse,1 for 10
"May 4, 2010",ITEX,Itex Corp,Reverse,1 for 5
"Apr 30, 2010",OCLR,Oclaro Inc,Reverse,1 for 5
"Apr 28, 2010",GOVX,Geovax Labs Inc,Reverse,1 for 50
"Apr 27, 2010",APYI,Aspyra Inc,Reverse,1 for 101.01
"Apr 26, 2010",SVRA,Savara Inc,Reverse,1 for 25
"Apr 14, 2010",RDGT,Ridgetech Inc,Reverse,1 for 2
"Apr 6, 2010",ONSM,Onstream Media Corp,Reverse,1 for 6
"Mar 31, 2010",LITS,Lite Strategy Inc,Reverse,1 for 10
"Mar 29, 2010",OTIX,Otix Global Inc,Reverse,1 for 5
"Mar 29, 2010",AOXG,Aoxing Pharmaceutical Company Inc,Reverse,1 for 2
"Mar 15, 2010",CERPQ,Cereplast Inc,Reverse,1 for 40
"Mar 12, 2010",HYGS,Hydrogenics Corp,Reverse,1 for 25
"Mar 12, 2010",DZSI,Dzs Inc,Reverse,1 for 5
"Mar 10, 2010",PTXTQ,Pernix Therapeutics Holdings Inc,Reverse,1 for 2
"Mar 3, 2010",CWLZ,Cowlitz Bancorporation,Reverse,1 for 10
"Mar 2, 2010",SBET,Sharplink Gaming Ltd.,Reverse,1 for 2
"Mar 2, 2010",CABLF,China Cablecom Holdings Ltd.,Reverse,1 for 3
"Mar 1, 2010",ANLY,Analysts International Corp,Reverse,1 for 5
"Feb 25, 2010",DTRM,Determine Inc,Reverse,1 for 20
"Feb 19, 2010",TORM,Tor Minerals International Inc,Reverse,1 for 5
"Feb 18, 2010",VCEL,Vericel Corp,Reverse,1 for 8
"Feb 17, 2010",VIAS,Viasystems Group Inc,Reverse,1 for 9.09
"Feb 17, 2010",MARK,Remark Holdings Inc,Reverse,1 for 10
"Feb 17, 2010",ENCO,Encorium Group Inc,Reverse,1 for 8
"Feb 16, 2010",VPCO,Vapor Corp,Reverse,1 for 2.5
"Feb 8, 2010",HGLI,Hongli Clean Energy Technologies Corp,Reverse,1 for 20
"Feb 8, 2010",CRTN,Cartesian Inc,Reverse,1 for 5
"Feb 5, 2010",CYRX,Cryoport Inc,Reverse,1 for 10
"Feb 4, 2010",GADS,Gadsden Properties Inc,Reverse,1 for 6
"Feb 3, 2010",DSCI,Derma Sciences Inc,Reverse,1 for 8
"Feb 2, 2010",YVRLF,Liquid Media Group Ltd.,Reverse,1 for 5
"Jan 29, 2010",EXXIQ,Energy Xxi Ltd.,Reverse,1 for 5
"Jan 29, 2010",EGC,Energy Xxi Gulf Coast Inc,Reverse,1 for 5
"Jan 21, 2010",CHT,Chunghwa Telecom Co Ltd.,Reverse,1 for 1.1
"Jan 15, 2010",MAXX,Maxxam Inc,Reverse,1 for 250
"Jan 15, 2010",IMNPQ,Immune Pharmaceuticals Inc,Reverse,1 for 3
"Jan 14, 2010",GCFB,Granite City Food & Brewery Ltd.,Reverse,1 for 6
"Jan 12, 2010",BOSC,Bos Better Online Solutions Ltd.,Reverse,1 for 5
"Jan 5, 2010",IFLG,Infologix Inc,Reverse,1 for 25
