Date,Symbol,Company Name,Type,Split Ratio
"Aug 29, 2025",SEGG,Sports Entertainment Gaming Global Media Corp,Reverse,1 for 10
"Aug 29, 2025",EAF,Graftech International Ltd.,Reverse,1 for 10
"Aug 28, 2025",GDHG,Golden Heaven Group Holdings Ltd.,Reverse,1 for 15
"Aug 28, 2025",DRIO,Dariohealth Corp,Reverse,1 for 20
"Aug 26, 2025",USAS,Americas Gold & Silver Corp,Reverse,1 for 2.5
"Aug 26, 2025",CMMB,Chemomab Therapeutics Ltd.,Reverse,1 for 4
"Aug 26, 2025",AKAN,Akanda Corp,Reverse,1 for 3.13
"Aug 25, 2025",SUGP,Su Group Holdings Ltd.,Reverse,1 for 10
"Aug 25, 2025",QH,Quhuo Ltd.,Reverse,1 for 90.01
"Aug 25, 2025",OP,Oceanpal Inc,Reverse,1 for 25
"Aug 25, 2025",GWAV,Greenwave Technology Solutions Inc,Reverse,1 for 110.01
"Aug 25, 2025",GTI,Graphjet Technology,Reverse,1 for 59.99
"Aug 25, 2025",FRSX,Foresight Autonomous Holdings Ltd.,Reverse,1 for 7
"Aug 25, 2025",BCTX,Briacell Therapeutics Corp,Reverse,1 for 10
"Aug 22, 2025",ZNB,Zeta Network Group,Reverse,1 for 25
"Aug 22, 2025",OESX,Orion Energy Systems Inc,Reverse,1 for 10
"Aug 21, 2025",AZTR,Azitra Inc,Reverse,1 for 6.66
"Aug 20, 2025",GIBO,Gibo Holdings Ltd.,Reverse,1 for 200
"Aug 19, 2025",LNZA,Lanzatech Global Inc,Reverse,1 for 100
"Aug 18, 2025",SLRX,Salarius Pharmaceuticals Inc,Reverse,1 for 15
"Aug 18, 2025",ENTO,Entero Therapeutics Inc,Reverse,1 for 3
"Aug 18, 2025",CHSN,Chanson International Holding,Reverse,1 for 80
"Aug 15, 2025",VTAK,Catheter Precision Inc,Reverse,1 for 19
"Aug 15, 2025",HIND,Vyome Holdings Inc,Reverse,1 for 4
"Aug 12, 2025",NAOV,Nanovibronix Inc,Reverse,1 for 10
"Aug 11, 2025",WATT,Energous Corp,Reverse,1 for 30
"Aug 11, 2025",VERU,Veru Inc,Reverse,1 for 10
"Aug 11, 2025",SISI,Shineco Inc,Reverse,1 for 50
"Aug 11, 2025",NCNA,Nucana PLC,Reverse,1 for 200
"Aug 8, 2025",ZBAI,Atif Holdings Ltd.,Reverse,1 for 18
"Aug 8, 2025",HTCO,High-trend International Group,Reverse,1 for 25
"Aug 8, 2025",EVTV,Envirotech Vehicles Inc,Reverse,1 for 10
"Aug 8, 2025",DEVS,Devvstream Corp,Reverse,1 for 10
"Aug 7, 2025",SPRB,Spruce Biosciences Inc,Reverse,1 for 75.02
"Aug 7, 2025",SMX,Smx (security Matters) Public Ltd Co.,Reverse,1 for 7
"Aug 6, 2025",SEAT,Vivid Seats Inc,Reverse,1 for 20
"Aug 5, 2025",OST,Ostin Technology Group Co Ltd.,Reverse,1 for 25
"Aug 5, 2025",MKZR,Mackenzie Realty Capital Inc,Reverse,1 for 10
"Aug 5, 2025",CLDI,Calidi Biotherapeutics Inc,Reverse,1 for 12
"Aug 5, 2025",ACXP,Acurx Pharmaceuticals Inc,Reverse,1 for 20
"Aug 4, 2025",NIVF,Newgenivf Group Ltd.,Reverse,1 for 5
"Aug 4, 2025",FLGC,Flora Growth Corp,Reverse,1 for 39
"Aug 4, 2025",BINI,Bollinger Innovations Inc,Reverse,1 for 250
"Aug 4, 2025",AQMS,Aqua Metals Inc,Reverse,1 for 10
"Aug 4, 2025",ANGH,Anghami Inc,Reverse,1 for 10
"Aug 1, 2025",HCTI,Healthcare Triangle Inc,Reverse,1 for 248.76
"Aug 1, 2025",DRMA,Dermata Therapeutics Inc,Reverse,1 for 10
"Jul 31, 2025",FGI,Fgi Industries Ltd.,Reverse,1 for 5
"Jul 31, 2025",BDRX,Biodexa Pharmaceuticals PLC,Reverse,1 for 10
"Jul 30, 2025",NAAS,Naas Technology Inc,Reverse,1 for 4
"Jul 29, 2025",SLXN,Silexion Therapeutics Corp,Reverse,1 for 15
"Jul 29, 2025",AIHS,Senmiao Technology Ltd.,Reverse,1 for 10
"Jul 28, 2025",VELO,Velo3d Inc,Reverse,1 for 15
"Jul 28, 2025",MRSN,Mersana Therapeutics Inc,Reverse,1 for 25
"Jul 28, 2025",IMA,Imagenebio Inc,Reverse,1 for 12
"Jul 28, 2025",FOXO,Foxo Technologies Inc,Reverse,1 for 1.99
"Jul 28, 2025",CHPT,Chargepoint Holdings Inc,Reverse,1 for 20
"Jul 28, 2025",AGRI,Agriforce Growing Systems Ltd.,Reverse,1 for 9
"Jul 25, 2025",VRCA,Verrica Pharmaceuticals Inc,Reverse,1 for 10
"Jul 25, 2025",IMNN,Imunon Inc,Reverse,1 for 15
"Jul 22, 2025",PC,Premium Catering (holdings) Ltd.,Reverse,1 for 9
"Jul 22, 2025",GBIO,Generation Bio Co.,Reverse,1 for 10
"Jul 22, 2025",CNSP,Cns Pharmaceuticals Inc,Reverse,1 for 12
"Jul 21, 2025",TWG,Top Wealth Group Holding Ltd.,Reverse,1 for 90.01
"Jul 21, 2025",IVF,Invo Fertility Inc,Reverse,1 for 3
"Jul 21, 2025",GVH,Globavend Holdings Ltd.,Reverse,1 for 200
"Jul 18, 2025",MLGO,Microalgo Inc,Reverse,1 for 30
"Jul 18, 2025",CREG,Smart Powerr Corp,Reverse,1 for 10
"Jul 16, 2025",PAPL,Pineapple Financial Inc,Reverse,1 for 20
"Jul 14, 2025",XAIR,Beyond Air Inc,Reverse,1 for 20
"Jul 14, 2025",PASG,Passage Bio Inc,Reverse,1 for 20
"Jul 14, 2025",NXTC,Nextcure Inc,Reverse,1 for 12
"Jul 14, 2025",HTOO,Fusion Fuel Green PLC,Reverse,1 for 35
"Jul 14, 2025",GORV,Lazydays Holdings Inc,Reverse,1 for 30
"Jul 10, 2025",MFI,Mf International Ltd.,Reverse,1 for 8
"Jul 9, 2025",SBDS,Solo Brands Inc,Reverse,1 for 40
"Jul 8, 2025",BNZI,Banzai International Inc,Reverse,1 for 10
"Jul 7, 2025",REVB,Revelation Biosciences Inc,Reverse,1 for 3
"Jul 7, 2025",NUWE,Nuwellis Inc,Reverse,1 for 42
"Jul 7, 2025",LVLU,Lulu's Fashion Lounge Holdings Inc,Reverse,1 for 15
"Jul 7, 2025",LRHC,La Rosa Holdings Corp,Reverse,1 for 80
