Date,Symbol,Company Name,Type,Split Ratio
"Dec 30, 2016",APEN,Apollo Endosurgery Inc,Reverse,1 for 5.5
"Dec 29, 2016",IDXG,Interpace Biosciences Inc,Reverse,1 for 10
"Dec 29, 2016",BKYI,Bio Key International Inc,Reverse,1 for 12
"Dec 28, 2016",USAS,Americas Gold & Silver Corp,Reverse,1 for 12
"Dec 28, 2016",IMMP,Immutep Ltd.,Reverse,1 for 3.33
"Dec 27, 2016",BASXQ,Basic Energy Services Inc,Reverse,1 for 571.43
"Dec 22, 2016",BNAUF,Battle North Gold Corp,Reverse,1 for 162.07
"Dec 19, 2016",NVLNF,Novelion Therapeutics Inc,Reverse,1 for 5
"Dec 19, 2016",LMST,Limestone Bancorp Inc,Reverse,1 for 5
"Dec 16, 2016",VISL,Vislink Technologies Inc,Reverse,1 for 10
"Dec 16, 2016",KEGX,Key Energy Services Inc,Reverse,1 for 200
"Dec 13, 2016",XBKS,Xenith Bankshares Inc,Reverse,1 for 10
"Dec 9, 2016",BEBE,Bebe Stores Inc,Reverse,1 for 10
"Dec 8, 2016",LIVE,Live Ventures Inc,Reverse,1 for 6
"Dec 7, 2016",AHPIQ,Allied Healthcare Products Inc,Reverse,1 for 2
"Dec 6, 2016",RTCJF,Baijiayun Group Ltd.,Reverse,1 for 4
"Dec 6, 2016",ONCT,Oncternal Therapeutics Inc,Reverse,1 for 10
"Dec 5, 2016",COWN,Cowen Inc,Reverse,1 for 4
"Dec 2, 2016",EVHC,Envision Healthcare Corp,Reverse,1 for 2.99
"Dec 1, 2016",GNVC,Genvec Inc,Reverse,1 for 10
"Nov 29, 2016",WGBS,Wafergen Bio-systems Inc,Reverse,1 for 5
"Nov 29, 2016",MBOT,Microbot Medical Inc,Reverse,1 for 9
"Nov 29, 2016",CASC,Cascadian Therapeutics Inc,Reverse,1 for 6
"Nov 22, 2016",KALV,Kalvista Pharmaceuticals Inc,Reverse,1 for 14
"Nov 21, 2016",IMUC,Immunocellular Therapeutics Ltd.,Reverse,1 for 40
"Nov 18, 2016",BLNE,Beeline Holdings Inc,Reverse,1 for 20
"Nov 16, 2016",PAGP,Plains Gp Holdings Lp,Reverse,1 for 2.66
"Nov 14, 2016",SLS,Sellas Life Sciences Group Inc,Reverse,1 for 20
"Nov 10, 2016",HTM,Us Geothermal Inc,Reverse,1 for 6
"Nov 9, 2016",TOON,Kartoon Studios Inc,Reverse,1 for 3
"Nov 7, 2016",VRDN,Viridian Therapeutics Inc,Reverse,1 for 14.99
"Nov 4, 2016",HNR,Harvest Natural Resources Inc,Reverse,1 for 4
"Nov 4, 2016",ALBO,Albireo Pharma Inc,Reverse,1 for 30
"Nov 3, 2016",ATIS,Attis Industries Inc,Reverse,1 for 20
"Nov 1, 2016",DRYS,Dryships Inc,Reverse,1 for 15
"Oct 28, 2016",POAI,Predictive Oncology Inc,Reverse,1 for 25
"Oct 27, 2016",YUMAQ,Yuma Energy Inc,Reverse,1 for 20
"Oct 27, 2016",HGLI,Hongli Clean Energy Technologies Corp,Reverse,1 for 10
"Oct 24, 2016",SEELQ,Seelos Therapeutics Inc,Reverse,1 for 10
"Oct 20, 2016",GLBS,Globus Maritime Ltd.,Reverse,1 for 4
