Date,Symbol,Company Name,Type,Split Ratio
"Dec 29, 2017",DXF,Eason Technology Ltd.,Reverse,1 for 3
"Dec 22, 2017",WINT,Windtree Therapeutics Inc,Reverse,1 for 20
"Dec 22, 2017",HRGN,Harvard Apparatus Regenerative Technology Inc,Reverse,1 for 20
"Dec 20, 2017",PMTS,Cpi Card Group Inc,Reverse,1 for 5
"Dec 20, 2017",ELOX,Eloxx Pharmaceuticals Inc,Reverse,1 for 20
"Dec 13, 2017",MGLD,Marygold Companies Inc,Reverse,1 for 30
"Dec 8, 2017",PCSA,Processa Pharmaceuticals Inc,Reverse,1 for 7
"Dec 8, 2017",HQI,Hirequest Inc,Reverse,1 for 12
"Dec 7, 2017",ICLD,Intercloud Systems Inc,Reverse,1 for 4
"Dec 5, 2017",PCOA,Pendrell Corp,Reverse,1 for 100
"Dec 4, 2017",SYNE,Synthesis Energy Systems Inc,Reverse,1 for 8
"Nov 22, 2017",ELTK,Eltek Ltd.,Reverse,1 for 5
"Nov 21, 2017",INAPQ,Internap Corp,Reverse,1 for 4
"Nov 21, 2017",COSM,Cosmos Health Inc,Reverse,1 for 10
"Nov 20, 2017",MTW,Manitowoc Co Inc,Reverse,1 for 4
"Nov 16, 2017",ORGS,Orgenesis Inc,Reverse,1 for 12
"Nov 16, 2017",ARCT,Arcturus Therapeutics Holdings Inc,Reverse,1 for 7
"Nov 10, 2017",SINT,Sintx Technologies Inc,Reverse,1 for 12
"Nov 10, 2017",LODE,Comstock Inc,Reverse,1 for 5
"Nov 9, 2017",YECO,Yulong Eco-materials Ltd.,Reverse,1 for 5
"Nov 8, 2017",SPIEF,Spi Energy Co Ltd.,Reverse,1 for 10
"Nov 8, 2017",PBLA,Panbela Therapeutics Inc,Reverse,1 for 10
"Nov 6, 2017",MLNTQ,Melinta Therapeutics Inc,Reverse,1 for 5
"Nov 6, 2017",CEMP,Cempra Inc,Reverse,1 for 5
"Nov 3, 2017",BCDA,Biocardia Inc,Reverse,1 for 12
"Nov 2, 2017",TWO,Two Harbors Investment Corp,Reverse,1 for 2
"Nov 2, 2017",PSHG,Performance Shipping Inc,Reverse,1 for 7
"Nov 1, 2017",LADX,Ladrx Corp,Reverse,1 for 6
"Oct 30, 2017",MARA,Mara Holdings Inc,Reverse,1 for 4
"Oct 24, 2017",VNCE,Vince Holding Corp,Reverse,1 for 10
"Oct 16, 2017",ASTC,Astrotech Corp,Reverse,1 for 5
"Oct 13, 2017",NUWE,Nuwellis Inc,Reverse,1 for 20
"Oct 11, 2017",SIMPQ,Simply Inc,Reverse,1 for 5
"Oct 10, 2017",TNDM,Tandem Diabetes Care Inc,Reverse,1 for 10
"Oct 6, 2017",TOPS,Top Ships Inc,Reverse,1 for 2
"Oct 6, 2017",SLNO,Soleno Therapeutics Inc,Reverse,1 for 5
"Oct 6, 2017",RNVA,Rennova Health Inc,Reverse,1 for 15
"Oct 6, 2017",MRINQ,Marin Software Inc,Reverse,1 for 7
"Oct 6, 2017",ADYX,Adynxx Inc,Reverse,1 for 10
"Oct 5, 2017",BINI,Bollinger Innovations Inc,Reverse,1 for 10
"Oct 1, 2017",LVO,Liveone Inc,Reverse,1 for 3
"Sep 29, 2017",TWER,Towerstream Corp,Reverse,1 for 75.02
"Sep 25, 2017",PSHG,Performance Shipping Inc,Reverse,1 for 3
"Sep 25, 2017",ENLV,Enlivex Therapeutics Ltd.,Reverse,1 for 5
"Sep 22, 2017",ORIG,Ocean Rig Udw Inc,Reverse,"1 for 9,090.91"
"Sep 21, 2017",ACER,Acer Therapeutics Inc,Reverse,1 for 10.35
"Sep 19, 2017",SPIEF,Spi Energy Co Ltd.,Reverse,1 for 10
"Sep 11, 2017",KNX,Knight-swift Transportation Holdings Inc,Reverse,1 for 1.39
"Sep 6, 2017",SBET,Sharplink Gaming Ltd.,Reverse,1 for 3
"Sep 6, 2017",MACK,Merrimack Pharmaceuticals Inc,Reverse,1 for 10
"Sep 1, 2017",MFGP,Micro Focus International PLC,Reverse,1 for 1.08
"Sep 1, 2017",COHN,Cohen & Co Inc,Reverse,1 for 10
"Aug 30, 2017",BLNK,Blink Charging Co.,Reverse,1 for 50
"Aug 29, 2017",LINUF,Liniu Technology Group,Reverse,1 for 6
"Aug 28, 2017",SYBX,Synlogic Inc,Reverse,1 for 7
"Aug 24, 2017",PSHG,Performance Shipping Inc,Reverse,1 for 7
"Aug 18, 2017",FLUX,Flux Power Holdings Inc,Reverse,1 for 10
"Aug 15, 2017",RMGN,Rmg Networks Holding Corp,Reverse,1 for 4
"Aug 3, 2017",TOPS,Top Ships Inc,Reverse,1 for 30
"Aug 3, 2017",ATRX,Adhera Therapeutics Inc,Reverse,1 for 10
"Aug 3, 2017",ACHV,Achieve Life Sciences Inc,Reverse,1 for 11
"Aug 2, 2017",SVU,Supervalu Inc,Reverse,1 for 7
"Aug 2, 2017",MTEM,Molecular Templates Inc,Reverse,1 for 11
"Aug 1, 2017",TDW,Tidewater Inc,Reverse,1 for 32.26
"Jul 27, 2017",PSHG,Performance Shipping Inc,Reverse,1 for 6
"Jul 25, 2017",BLIN,Bridgeline Digital Inc,Reverse,1 for 5
"Jul 25, 2017",ALPN,Alpine Immune Sciences Inc,Reverse,1 for 4
"Jul 21, 2017",DRYS,Dryships Inc,Reverse,1 for 7
"Jul 20, 2017",DARE,Dare Bioscience Inc,Reverse,1 for 10
"Jul 14, 2017",SRL,Scully Royalty Ltd.,Reverse,1 for 5
"Jul 14, 2017",KZIA,Kazia Therapeutics Ltd.,Reverse,1 for 4
"Jul 12, 2017",ICLD,Intercloud Systems Inc,Reverse,1 for 4
"Jul 12, 2017",ANY,Sphere 3d Corp,Reverse,1 for 25
"Jul 10, 2017",FTRCQ,Frontier Communications Corp,Reverse,1 for 15
"Jul 10, 2017",CDMO,Avid Bioservices Inc,Reverse,1 for 7
"Jul 6, 2017",BXEFF,Bellatrix Exploration Ltd.,Reverse,1 for 5
"Jul 5, 2017",PSHG,Performance Shipping Inc,Reverse,1 for 7
"Jul 3, 2017",GTBP,Gt Biopharma Inc,Reverse,1 for 300.3
"Jun 23, 2017",TOPS,Top Ships Inc,Reverse,1 for 15
