Date,Symbol,Company Name,Type,Split Ratio
"Dec 31, 2014",OPNT,Opiant Pharmaceuticals Inc,Reverse,1 for 100
"Dec 31, 2014",ALSE,Alseres Pharmaceuticals Inc,Reverse,"1 for 5,000"
"Dec 30, 2014",OIBR.C,Oi SA,Reverse,1 for 10
"Dec 29, 2014",OIBRQ,Oi SA,Reverse,1 for 10
"Dec 17, 2014",DXF,Eason Technology Ltd.,Reverse,1 for 4
"Dec 8, 2014",VRTA,Vestin Realty Mortgage I Inc,Reverse,1 for 4
"Dec 5, 2014",CTSO,Cytosorbents Corp,Reverse,1 for 25
"Nov 10, 2014",DVAX,Dynavax Technologies Corp,Reverse,1 for 10
"Nov 7, 2014",CHOPF,China Gerui Advanced Materials Group Ltd.,Reverse,1 for 10
"Nov 4, 2014",RVEN,Reven Housing Reit Inc,Reverse,1 for 20
"Nov 3, 2014",TLRS,Timberline Resources Corp,Reverse,1 for 12
"Oct 31, 2014",PRTK,Paratek Pharmaceuticals Inc,Reverse,1 for 12
"Oct 29, 2014",BNBX,Applied Dna Sciences Inc,Reverse,1 for 59.99
"Oct 28, 2014",POAI,Predictive Oncology Inc,Reverse,1 for 75.02
"Oct 24, 2014",ABEO,Abeona Therapeutics Inc,Reverse,1 for 50
"Oct 23, 2014",NEWT,Newtekone Inc,Reverse,1 for 5
"Oct 23, 2014",DSHK,Drive Shack Inc,Reverse,1 for 2
"Oct 20, 2014",RITM,Rithm Capital Corp,Reverse,1 for 2
"Oct 17, 2014",RAMR,Ram Holdings Ltd.,Reverse,1 for 100
"Oct 7, 2014",APTOF,Aptose Biosciences Inc,Reverse,1 for 12
"Oct 6, 2014",DRIO,Dariohealth Corp,Reverse,1 for 5
"Sep 30, 2014",LEU,Centrus Energy Corp,Reverse,1 for 10.91
"Sep 29, 2014",MMAC,Mma Capital Holdings Inc,Reverse,1 for 5
"Sep 25, 2014",VIVE,Viveve Medical Inc,Reverse,1 for 100
"Sep 10, 2014",MBVXQ,Mabvax Therapeutics Holdings Inc,Reverse,1 for 8
"Sep 10, 2014",GDEN,Golden Entertainment Inc,Reverse,1 for 2
"Sep 8, 2014",AXPWQ,Axion Power International Inc,Reverse,1 for 50
"Sep 5, 2014",FENC,Fennec Pharmaceuticals Inc,Reverse,1 for 3
"Sep 3, 2014",INLX,Intellinetics Inc,Reverse,1 for 7
"Aug 28, 2014",OCAT,Ocata Therapeutics Inc,Reverse,1 for 100
"Aug 27, 2014",ASTI,Ascent Solar Technologies Inc,Reverse,1 for 10
"Aug 22, 2014",EMITF,Elbit Imaging Ltd.,Reverse,1 for 20
"Aug 20, 2014",ZAZA,Zaza Energy Corp,Reverse,1 for 10
"Aug 19, 2014",DSHK,Drive Shack Inc,Reverse,1 for 3
"Aug 18, 2014",IVANF,Ivanhoe Energy Inc,Reverse,1 for 7
"Aug 14, 2014",VTGN,Vistagen Therapeutics Inc,Reverse,1 for 20
"Aug 13, 2014",IDN,Intellicheck Inc,Reverse,1 for 8
"Aug 11, 2014",SNBC,Sun Bancorp Inc,Reverse,1 for 5
"Aug 4, 2014",LEAF,Leaf Group Ltd.,Reverse,1 for 5
