Date,Symbol,Company Name,Type,Split Ratio
"Dec 30, 2022",TRNR,Interactive Strength Inc,Reverse,1 for 149.93
"Dec 30, 2022",IRON,Disc Medicine Inc,Reverse,1 for 10
"Dec 30, 2022",CHRA,Charah Solutions Inc,Reverse,1 for 10
"Dec 29, 2022",IMG,Cimg Inc,Reverse,1 for 35
"Dec 28, 2022",AEI,Alset Inc,Reverse,1 for 20
"Dec 27, 2022",HOFV,Hall Of Fame Resort & Entertainment Co.,Reverse,1 for 22
"Dec 23, 2022",KALRQ,Kalera Public Ltd Co.,Reverse,1 for 100
"Dec 23, 2022",HIND,Vyome Holdings Inc,Reverse,1 for 50
"Dec 23, 2022",BTCM,Bit Mining Ltd.,Reverse,1 for 10
"Dec 23, 2022",ATLX,Atlas Lithium Corp,Reverse,1 for 751.88
"Dec 22, 2022",TISI,Team Inc,Reverse,1 for 10
"Dec 22, 2022",THMO,Thermogenesis Holdings Inc,Reverse,1 for 45
"Dec 22, 2022",OP,Oceanpal Inc,Reverse,1 for 10
"Dec 22, 2022",MARK,Remark Holdings Inc,Reverse,1 for 10
"Dec 21, 2022",HTGMQ,Htg Molecular Diagnostics Inc,Reverse,1 for 12
"Dec 21, 2022",CEIN,Camber Energy Inc,Reverse,1 for 50
"Dec 20, 2022",SINT,Sintx Technologies Inc,Reverse,1 for 100
"Dec 20, 2022",MDWD,Mediwound Ltd.,Reverse,1 for 7
"Dec 19, 2022",KANT,Kineta Inc,Reverse,1 for 7
"Dec 19, 2022",HEXO,Hexo Corp,Reverse,1 for 14
"Dec 19, 2022",ETHZ,Ethzilla Corp,Reverse,1 for 20
"Dec 16, 2022",NHIQ,Nanthealth Inc,Reverse,1 for 15
"Dec 16, 2022",COSM,Cosmos Health Inc,Reverse,1 for 25
"Dec 16, 2022",BBLNF,Babylon Holdings Ltd.,Reverse,1 for 25
"Dec 15, 2022",COE,51talk Online Education Group,Reverse,1 for 4
"Dec 15, 2022",BETSF,Bit Brother Ltd.,Reverse,1 for 15
"Dec 14, 2022",PHCFF,Puhui Wealth Investment Management Co Ltd.,Reverse,1 for 6
"Dec 13, 2022",PSFE,Paysafe Ltd.,Reverse,1 for 12
"Dec 13, 2022",IMVIQ,Imv Inc,Reverse,1 for 10
"Dec 12, 2022",YDKG,Yueda Digital Holding,Reverse,1 for 4
"Dec 12, 2022",OCFT,Oneconnect Financial Technology Co Ltd.,Reverse,1 for 10
"Dec 12, 2022",NUWE,Nuwellis Inc,Reverse,1 for 100
"Dec 12, 2022",BIMI,Bimi Holdings Inc,Reverse,1 for 10
"Dec 9, 2022",UPHL,Uphealth Inc,Reverse,1 for 10
"Dec 9, 2022",NDRA,Endra Life Sciences Inc,Reverse,1 for 20
"Dec 9, 2022",MYSZ,My Size Inc,Reverse,1 for 25
"Dec 9, 2022",GROM,Grom Social Enterprises Inc,Reverse,1 for 30
"Dec 8, 2022",LCFY,Locafy Ltd.,Reverse,1 for 20
"Dec 6, 2022",DRRX,Durect Corp,Reverse,1 for 10
"Dec 6, 2022",CKPT,Checkpoint Therapeutics Inc,Reverse,1 for 10
"Dec 5, 2022",ASTC,Astrotech Corp,Reverse,1 for 30
"Dec 2, 2022",ELOX,Eloxx Pharmaceuticals Inc,Reverse,1 for 40
"Dec 1, 2022",TUEMQ,Tuesday Morning Corp,Reverse,1 for 30
"Dec 1, 2022",PTPI,Petros Pharmaceuticals Inc,Reverse,1 for 10
