Date,Symbol,Company Name,Type,Split Ratio
"Dec 28, 2011",MDSYF,Modsys International Ltd.,Reverse,1 for 4
"Dec 23, 2011",ATRX,Adhera Therapeutics Inc,Reverse,1 for 10
"Dec 21, 2011",EXPE,Expedia Group Inc,Reverse,1 for 2
"Dec 21, 2011",CSUNY,China Sunergy Co Ltd.,Reverse,1 for 3
"Dec 20, 2011",HRZL,Horizon Lines Inc,Reverse,1 for 25
"Dec 20, 2011",AMZGQ,American Eagle Energy Corp,Reverse,1 for 4.5
"Dec 19, 2011",HAFC,Hanmi Financial Corp,Reverse,1 for 8
"Dec 14, 2011",NYNY,Empire Resorts Inc,Reverse,1 for 3
"Dec 2, 2011",YELLQ,Yellow Corp,Reverse,1 for 300.3
"Dec 1, 2011",SGYPQ,Synergy Pharmaceuticals Inc,Reverse,1 for 2
"Nov 28, 2011",NBGGY,National Bank Of Greece SA,Reverse,1 for 5
"Nov 23, 2011",PARD,Poniard Pharmaceuticals Inc,Reverse,1 for 40
"Nov 17, 2011",ARWR,Arrowhead Pharmaceuticals Inc,Reverse,1 for 10
"Nov 15, 2011",MGI,Moneygram International Inc,Reverse,1 for 8
"Nov 4, 2011",GEVA,Synageva Biopharma Corp,Reverse,1 for 5
"Nov 1, 2011",NTLS,Ntelos Holdings Corp,Reverse,1 for 2
"Nov 1, 2011",ITT,Itt Inc,Reverse,1 for 2
"Nov 1, 2011",COB,Communityone Bancorp,Reverse,1 for 100
"Nov 1, 2011",CARV,Carver Bancorp Inc,Reverse,1 for 15
"Oct 31, 2011",ACCS,Access Newswire Inc,Reverse,1 for 10
"Oct 28, 2011",PWAVQ,Powerwave Technologies Inc,Reverse,1 for 5
"Oct 24, 2011",FAVS,First Aviation Services Inc,Reverse,1 for 20
"Oct 20, 2011",LVLT,Level 3 Communications Inc,Reverse,1 for 15
"Oct 19, 2011",LLEXQ,Lilis Energy Inc,Reverse,1 for 4
"Oct 12, 2011",OLB,Olb Group Inc,Reverse,1 for 20
"Oct 5, 2011",SXCL,Steel Excel Inc,Reverse,1 for 10
"Oct 3, 2011",AGEN,Agenus Inc,Reverse,1 for 6
"Sep 27, 2011",CEAI,China Education Alliance Inc,Reverse,1 for 3
"Sep 19, 2011",FSGI,First Security Group Inc,Reverse,1 for 10
"Sep 6, 2011",OTRKQ,Ontrak Inc,Reverse,1 for 40
"Sep 2, 2011",XPO,Xpo Inc,Reverse,1 for 4
"Sep 2, 2011",NURO,Neurometrix Inc,Reverse,1 for 6
"Aug 31, 2011",RNWK,Realnetworks Inc,Reverse,1 for 4
"Aug 30, 2011",FENC,Fennec Pharmaceuticals Inc,Reverse,1 for 18
"Aug 16, 2011",FESLQ,Forbes Energy Services Ltd.,Reverse,1 for 4
"Aug 15, 2011",CRDSQ,Crossroads Systems Inc,Reverse,1 for 4
"Aug 14, 2011",PPSI,Pioneer Power Solutions Inc,Reverse,1 for 5
"Aug 11, 2011",CMZPF,Compton Petroleum Corp,Reverse,1 for 200
"Aug 3, 2011",QXO,Qxo Inc,Reverse,"1 for 1,818.18"
"Jul 29, 2011",RIOT,Riot Platforms Inc,Reverse,1 for 5
"Jul 18, 2011",AMBTQ,Ambient Corp,Reverse,1 for 100
"Jul 14, 2011",TGTX,Tg Therapeutics Inc,Reverse,1 for 50
"Jul 13, 2011",PARR,Par Pacific Holdings Inc,Reverse,1 for 10
"Jul 13, 2011",DPTRQ,Delta Petroleum Corp,Reverse,1 for 10
"Jul 12, 2011",SBSAA,Spanish Broadcasting System Inc,Reverse,1 for 10
"Jul 7, 2011",ROSGQ,Rosetta Genomics Ltd.,Reverse,1 for 4
"Jul 6, 2011",MBOT,Microbot Medical Inc,Reverse,1 for 10
"Jul 1, 2011",CRBC,Citizens Republic Bancorp Inc,Reverse,1 for 10
"Jun 30, 2011",ULUR,Uluru Inc,Reverse,1 for 15
"Jun 30, 2011",IACH,Information Architects Corp,Reverse,1 for 100
"Jun 27, 2011",SHIP,Seanergy Maritime Holdings Corp,Reverse,1 for 15
"Jun 27, 2011",HMNY,Helios & Matheson Analytics Inc,Reverse,1 for 2.5
"Jun 24, 2011",TOPS,Top Ships Inc,Reverse,1 for 10
"Jun 20, 2011",UCB,United Community Banks Inc,Reverse,1 for 5
"Jun 20, 2011",PFBC,Preferred Bank,Reverse,1 for 5
"Jun 17, 2011",RNVA,Rennova Health Inc,Reverse,1 for 5
"Jun 9, 2011",ELLO,Ellomay Capital Ltd.,Reverse,1 for 10
"Jun 8, 2011",SOFT,Softech Inc,Reverse,1 for 20
"Jun 8, 2011",ALTO,Alto Ingredients Inc,Reverse,1 for 7
"Jun 7, 2011",FDNHQ,Foundation Healthcare Inc,Reverse,1 for 4
"Jun 1, 2011",BANR,Banner Corp,Reverse,1 for 7
"May 27, 2011",GAHC,Global Arena Holding Inc,Reverse,1 for 20
"May 25, 2011",DPSI,Decisionpoint Systems Inc,Reverse,1 for 7.23
"May 20, 2011",PLUG,Plug Power Inc,Reverse,1 for 10
"May 19, 2011",WCBO,West Coast Bancorp,Reverse,1 for 5
"May 16, 2011",TTTM,T3m Inc,Reverse,1 for 10
"May 16, 2011",CTIC,Cti Biopharma Corp,Reverse,1 for 6
"May 9, 2011",DOMH,Dominari Holdings Inc,Reverse,1 for 10
"May 9, 2011",C,Citigroup Inc,Reverse,1 for 10
"May 4, 2011",BSF,Bear State Financial Inc,Reverse,1 for 5
