Date,Symbol,Company Name,Type,Split Ratio
"Dec 29, 2023",VS,Versus Systems Inc,Reverse,1 for 16
"Dec 29, 2023",AVTX,Avalo Therapeutics Inc,Reverse,1 for 239.81
"Dec 27, 2023",NXUR,Nxu Inc,Reverse,1 for 149.93
"Dec 27, 2023",LIDR,Aeye Inc,Reverse,1 for 30
"Dec 22, 2023",GMBL,Esports Entertainment Group Inc,Reverse,1 for 400
"Dec 21, 2023",MTVA,Metavia Inc,Reverse,1 for 8
"Dec 21, 2023",BKYI,Bio Key International Inc,Reverse,1 for 18
"Dec 21, 2023",BINI,Bollinger Innovations Inc,Reverse,1 for 100
"Dec 20, 2023",WNW,Meiwu Technology Co Ltd.,Reverse,1 for 35
"Dec 20, 2023",SIDU,Sidus Space Inc,Reverse,1 for 100
"Dec 20, 2023",SCOR,Comscore Inc,Reverse,1 for 20
"Dec 20, 2023",CGC,Canopy Growth Corp,Reverse,1 for 10
"Dec 20, 2023",BBLG,Bone Biologics Corp,Reverse,1 for 8
"Dec 19, 2023",TFFP,Tff Pharmaceuticals Inc,Reverse,1 for 25
"Dec 19, 2023",NGNE,Neurogene Inc,Reverse,1 for 4
"Dec 18, 2023",YQ,17 Education & Technology Group Inc,Reverse,1 for 5
"Dec 18, 2023",VRAX,Virax Biolabs Group Ltd.,Reverse,1 for 10
"Dec 18, 2023",ENTO,Entero Therapeutics Inc,Reverse,1 for 20
"Dec 18, 2023",BGMS,Bio Green Med Solution Inc,Reverse,1 for 15
"Dec 15, 2023",TCBP,Tc Biopharm (holdings) PLC,Reverse,1 for 20
"Dec 15, 2023",SING,Singlepoint Inc,Reverse,1 for 26
"Dec 15, 2023",LU,Lufax Holding Ltd.,Reverse,1 for 4
"Dec 15, 2023",HUBC,Hub Cyber Security Ltd.,Reverse,1 for 10
"Dec 14, 2023",SRZN,Surrozen Inc,Reverse,1 for 15
"Dec 14, 2023",GENE,Genetic Technologies Ltd.,Reverse,1 for 100
"Dec 14, 2023",AIMD,Ainos Inc,Reverse,1 for 5
"Dec 13, 2023",CYTOF,Altamira Therapeutics Ltd.,Reverse,1 for 20
"Dec 12, 2023",AUVIQ,Applied Uv Inc,Reverse,1 for 25
"Dec 11, 2023",SNCR,Synchronoss Technologies Inc,Reverse,1 for 9
"Dec 11, 2023",JG,Aurora Mobile Ltd.,Reverse,1 for 20
"Dec 8, 2023",TIL,Instil Bio Inc,Reverse,1 for 20
"Dec 8, 2023",SNCE,Science 37 Holdings Inc,Reverse,1 for 20
"Dec 8, 2023",CENN,Cenntro Inc,Reverse,1 for 10
"Dec 7, 2023",XOS,Xos Inc,Reverse,1 for 30
"Dec 7, 2023",XHG,Xchange Tecinc,Reverse,1 for 40
"Dec 7, 2023",PAVM,Pavmed Inc,Reverse,1 for 15
"Dec 6, 2023",CZOOF,Cazoo Group Ltd.,Reverse,1 for 100
"Dec 5, 2023",ZVSA,Zyversa Therapeutics Inc,Reverse,1 for 35
"Dec 4, 2023",MCOM,Micromobilitycom Inc,Reverse,1 for 149.93
"Dec 4, 2023",CHAI,Core Ai Holdings Inc,Reverse,1 for 7
"Dec 4, 2023",BNRG,Brenmiller Energy Ltd.,Reverse,1 for 10
"Dec 1, 2023",ENGC,Englobal Corp,Reverse,1 for 8
"Nov 30, 2023",YHC,Lqr House Inc,Reverse,1 for 59.99
"Nov 30, 2023",UK,Ucommune International Ltd.,Reverse,1 for 12
"Nov 30, 2023",IXHL,Incannex Healthcare Inc,Reverse,1 for 4
"Nov 30, 2023",CING,Cingulate Inc,Reverse,1 for 20
"Nov 29, 2023",RGS,Regis Corp,Reverse,1 for 20
"Nov 29, 2023",PRAX,Praxis Precision Medicines Inc,Reverse,1 for 15
"Nov 29, 2023",IBIO,Ibio Inc,Reverse,1 for 20
"Nov 28, 2023",VSTD,Vestand Inc,Reverse,1 for 10
"Nov 28, 2023",SEELQ,Seelos Therapeutics Inc,Reverse,1 for 30
"Nov 28, 2023",CMND,Clearmind Medicine Inc,Reverse,1 for 30
"Nov 27, 2023",CHR,Cheer Holding Inc,Reverse,1 for 10
"Nov 22, 2023",NURO,Neurometrix Inc,Reverse,1 for 8
"Nov 22, 2023",BODI,Beachbody Company Inc,Reverse,1 for 50
"Nov 21, 2023",VTVT,Vtv Therapeutics Inc,Reverse,1 for 40
"Nov 21, 2023",THAR,Tharimmune Inc,Reverse,1 for 25
"Nov 20, 2023",IFBD,Infobird Co Ltd.,Reverse,1 for 20
"Nov 17, 2023",TRVG,Trivago Nv,Reverse,1 for 5
"Nov 17, 2023",SNES,Senestech Inc,Reverse,1 for 12
"Nov 17, 2023",AMTD,Amtd Idea Group,Reverse,1 for 3
"Nov 16, 2023",AEYGQ,Addvantage Technologies Group Inc,Reverse,1 for 10
"Nov 15, 2023",RVSN,Rail Vision Ltd.,Reverse,1 for 8
"Nov 15, 2023",HYMC,Hycroft Mining Holding Corp,Reverse,1 for 10
"Nov 14, 2023",XRTX,Xortx Therapeutics Inc,Reverse,1 for 9
