Date,Symbol,Company Name,Type,Split Ratio
"Dec 28, 2012",OTLC,Oncotelic Therapeutics Inc,Reverse,1 for 12
"Dec 27, 2012",MRVC,Mrv Communications Inc,Reverse,1 for 20
"Dec 24, 2012",PIOIQ,P10 Industries Inc,Reverse,1 for 5
"Dec 21, 2012",NSPR,Inspiremd Inc,Reverse,1 for 4
"Dec 21, 2012",DQ,Daqo New Energy Corp,Reverse,1 for 5
"Dec 19, 2012",LITS,Lite Strategy Inc,Reverse,1 for 6
"Dec 19, 2012",DYNT,Dynatronics Corp,Reverse,1 for 5
"Dec 17, 2012",CREX,Creative Realities Inc,Reverse,1 for 5
"Dec 17, 2012",ACER,Acer Therapeutics Inc,Reverse,1 for 4
"Dec 14, 2012",BOSC,Bos Better Online Solutions Ltd.,Reverse,1 for 4
"Dec 12, 2012",VISN,Visionchina Media Inc,Reverse,1 for 20
"Dec 10, 2012",JASO,Ja Solar Holdings Co Ltd.,Reverse,1 for 5
"Dec 5, 2012",GPRC,Guanwei Recycling Corp,Reverse,1 for 2
"Dec 5, 2012",CBMX,Combimatrix Corp,Reverse,1 for 10
"Nov 30, 2012",DSKX,Ds Healthcare Group Inc,Reverse,1 for 10
"Nov 27, 2012",SRXH,Srx Health Solutions Inc,Reverse,"1 for 1,000"
"Nov 19, 2012",CNYD,China Yida Holding Co.,Reverse,1 for 5
"Nov 14, 2012",AFHIQ,Atlas Financial Holdings Inc,Reverse,1 for 3
"Nov 13, 2012",QRHC,Quest Resource Holding Corp,Reverse,1 for 5
"Nov 9, 2012",VXRT,Vaxart Inc,Reverse,1 for 6
"Nov 9, 2012",PACT,Pactera Technology International Ltd.,Reverse,1 for 13.95
"Nov 6, 2012",PRGNF,Paragon Shipping Inc,Reverse,1 for 10
"Oct 26, 2012",CBAT,Cbak Energy Technology Inc,Reverse,1 for 5
"Oct 23, 2012",EOXLQ,Emerald Oil Inc,Reverse,1 for 7
"Oct 17, 2012",GRMS,Green Energy Management Services Holdings Inc,Reverse,1 for 10
"Oct 15, 2012",SBLK,Star Bulk Carriers Corp,Reverse,1 for 15
"Oct 12, 2012",BZH,Beazer Homes Usa Inc,Reverse,1 for 5
"Oct 11, 2012",THC,Tenet Healthcare Corp,Reverse,1 for 4
"Oct 11, 2012",SOMX,Somaxon Pharmaceuticals Inc,Reverse,1 for 8
"Oct 11, 2012",FBC,Flagstar Bancorp Inc,Reverse,1 for 10
"Oct 10, 2012",SUIG,Sui Group Holdings Ltd.,Reverse,1 for 11
"Oct 10, 2012",CALIQ,China Auto Logistics Inc,Reverse,1 for 6
"Oct 9, 2012",FNRG,Forcefield Energy Inc,Reverse,1 for 2
"Oct 9, 2012",APEN,Apollo Endosurgery Inc,Reverse,1 for 7
"Oct 5, 2012",CSCIF,Cosciens Biopharma Inc,Reverse,1 for 6
"Oct 4, 2012",XTLB,Xtl Biopharmaceuticals Ltd.,Reverse,1 for 10
"Oct 4, 2012",IHG,Intercontinental Hotels Group PLC,Reverse,1 for 1.07
"Oct 4, 2012",CWTRQ,Coldwater Creek Inc,Reverse,1 for 4
"Sep 27, 2012",OBAS,Optibase Ltd.,Reverse,1 for 5
"Sep 26, 2012",NWBO,Northwest Biotherapeutics Inc,Reverse,1 for 16
"Sep 24, 2012",DOMH,Dominari Holdings Inc,Reverse,1 for 20
"Sep 18, 2012",OLCB,Ohio Legacy Corp,Reverse,1 for 10
"Sep 17, 2012",XPLR,Xplore Technologies Corp,Reverse,1 for 400
"Sep 17, 2012",DLGC,Dialogic Inc,Reverse,1 for 5
"Sep 11, 2012",SQBGQ,Sequential Brands Group Inc,Reverse,1 for 15
"Sep 4, 2012",GNOW,American Caresource Holdings Inc,Reverse,1 for 3
"Sep 4, 2012",CTIC,Cti Biopharma Corp,Reverse,1 for 5
"Aug 31, 2012",AGHC,Aeon Global Health Corp,Reverse,1 for 2
"Aug 27, 2012",BGMS,Bio Green Med Solution Inc,Reverse,1 for 7
"Aug 24, 2012",DGLY,Digital Ally Inc,Reverse,1 for 8
"Aug 23, 2012",BWEN,Broadwind Inc,Reverse,1 for 10
"Aug 17, 2012",MECK,Mecklermedia Corp,Reverse,1 for 6.99
"Aug 16, 2012",ICAD,Icad Inc,Reverse,1 for 5
"Aug 15, 2012",PURE,Pure Bioscience Inc,Reverse,1 for 8
"Aug 13, 2012",PNX,Phoenix Companies Inc,Reverse,1 for 20
"Aug 13, 2012",NTWK,Netsol Technologies Inc,Reverse,1 for 10
"Aug 9, 2012",ARCW,Arc Group Worldwide Inc,Reverse,1 for 1.95
"Aug 6, 2012",TSEM,Tower Semiconductor Ltd.,Reverse,1 for 15
"Aug 3, 2012",PED,Pedevco Corp,Reverse,1 for 111.98
"Aug 2, 2012",IZEA,Izea Worldwide Inc,Reverse,1 for 40
"Jul 23, 2012",GRFS,Grifols SA,Reverse,1 for 2
"Jul 23, 2012",AMPLQ,Ampal-american Israel Corp,Reverse,1 for 20
"Jul 19, 2012",SATCQ,Satcon Technology Corp,Reverse,1 for 8
"Jul 19, 2012",ATTU,Attunity Ltd.,Reverse,1 for 4
"Jul 17, 2012",DHT,Dht Holdings Inc,Reverse,1 for 12
"Jul 12, 2012",SRPT,Sarepta Therapeutics Inc,Reverse,1 for 6
"Jul 12, 2012",AUTO,Autoweb Inc,Reverse,1 for 5
"Jul 11, 2012",STXS,Stereotaxis Inc,Reverse,1 for 10
"Jul 9, 2012",THQIQ,Thq Inc,Reverse,1 for 10
"Jul 5, 2012",KFS,Kingsway Financial Services Inc,Reverse,1 for 4
"Jul 3, 2012",DUK,Duke Energy Corp,Reverse,1 for 3
"Jun 29, 2012",HSH,Hillshire Brands Co.,Reverse,1 for 5
"Jun 26, 2012",TRNX,Taronis Technologies Inc,Reverse,1 for 10
"Jun 20, 2012",RIOT,Riot Platforms Inc,Reverse,1 for 6
"Jun 15, 2012",GRBK,Green Brick Partners Inc,Reverse,1 for 20
"Jun 14, 2012",TNGNQ,Tengion Inc,Reverse,1 for 10
"Jun 14, 2012",FNCX,Function(x) Inc,Reverse,1 for 2
"Jun 13, 2012",ALXA,Alexza Pharmaceuticals Inc,Reverse,1 for 10
"Jun 12, 2012",QKLS,Qkl Stores Inc,Reverse,1 for 3
"Jun 12, 2012",EGT,Entertainment Gaming Asia Inc,Reverse,1 for 4
"Jun 12, 2012",ALBO,Albireo Pharma Inc,Reverse,1 for 4
"Jun 4, 2012",ANIP,Ani Pharmaceuticals Inc,Reverse,1 for 6
"May 30, 2012",CRDF,Cardiff Oncology Inc,Reverse,1 for 6
"May 30, 2012",CEMI,Chembio Diagnostics Inc,Reverse,1 for 8
"May 30, 2012",BPOP,Popular Inc,Reverse,1 for 10
"May 29, 2012",BLU,Bellus Health Inc,Reverse,1 for 30
"May 22, 2012",NXTP,Nextplay Technologies Inc,Reverse,1 for 500
"May 16, 2012",LADX,Ladrx Corp,Reverse,1 for 7
"May 15, 2012",ROSGQ,Rosetta Genomics Ltd.,Reverse,1 for 15
"May 9, 2012",SAND,Sandstorm Gold Ltd.,Reverse,1 for 5
"May 4, 2012",CFBK,Cf Bankshares Inc,Reverse,1 for 5
"Apr 30, 2012",TGTX,Tg Therapeutics Inc,Reverse,1 for 56.24
"Apr 9, 2012",DSTI,Daystar Technologies Inc,Reverse,1 for 7
"Apr 4, 2012",BSPM,Biostar Pharmaceuticals Inc,Reverse,1 for 3
"Apr 2, 2012",MBVXQ,Mabvax Therapeutics Holdings Inc,Reverse,1 for 30
"Mar 23, 2012",GALT,Galectin Therapeutics Inc,Reverse,1 for 6
"Mar 22, 2012",TBCH,Turtle Beach Corp,Reverse,1 for 5
"Mar 22, 2012",MGTI,Mgt Capital Investments Inc,Reverse,1 for 33.33
"Mar 12, 2012",VALV,Shengkai Innovations Inc,Reverse,1 for 2
"Mar 12, 2012",LYRI,Lyris Inc,Reverse,1 for 15
"Mar 6, 2012",SEII,Sharing Economy International Inc,Reverse,1 for 10
"Mar 2, 2012",TAOP,Taoping Inc,Reverse,1 for 2
"Feb 27, 2012",AOBI,American Oriental Bioengineering Inc,Reverse,1 for 2
"Feb 24, 2012",HROW,Harrow Inc,Reverse,1 for 8
"Feb 24, 2012",FABU,Fab Universal Corp,Reverse,1 for 12
"Feb 21, 2012",MVIS,Microvision Inc,Reverse,1 for 8
"Feb 17, 2012",OIGBQ,Orbital Infrastructure Group Inc,Reverse,1 for 30
"Feb 16, 2012",EMKR,Emcore Corp,Reverse,1 for 4
"Feb 15, 2012",WSHLY,Wsp Holdings Ltd.,Reverse,1 for 5
"Feb 13, 2012",IDEXQ,Ideanomics Inc,Reverse,1 for 75.02
"Feb 10, 2012",RXPC,Radient Pharmaceuticals Corp,Reverse,1 for 25
"Feb 10, 2012",HKRSQ,Halcon Resources Corp,Reverse,1 for 3
"Feb 1, 2012",SNGX,Soligenix Inc,Reverse,1 for 20
"Feb 1, 2012",ACUS,Acusphere Inc,Reverse,1 for 10
"Jan 18, 2012",CHEV,Cheviot Financial Corp,Reverse,1 for 1.17
"Jan 17, 2012",MTEX,Mannatech Inc,Reverse,1 for 10
"Jan 17, 2012",LINK,Interlink Electronics Inc,Reverse,1 for 20
"Jan 17, 2012",CLWT,Euro Tech Holdings Co Ltd.,Reverse,1 for 5.5
"Jan 3, 2012",KZIA,Kazia Therapeutics Ltd.,Reverse,1 for 5
"Jan 3, 2012",DUNRQ,Dune Energy Inc,Reverse,1 for 100
