Date,Symbol,Company Name,Type,Split Ratio
"Dec 31, 2020",ENVB,Enveric Biosciences Inc,Reverse,1 for 4
"Dec 30, 2020",PETV,Petvivo Holdings Inc,Reverse,1 for 4
"Dec 28, 2020",ZVRA,Zevra Therapeutics Inc,Reverse,1 for 16
"Dec 23, 2020",KANT,Kineta Inc,Reverse,1 for 20
"Dec 23, 2020",HEXO,Hexo Corp,Reverse,1 for 4
"Dec 22, 2020",WPGGQ,Washington Prime Group Inc,Reverse,1 for 9
"Dec 18, 2020",VER,Vereit Inc,Reverse,1 for 5
"Dec 17, 2020",ROII,Riskon International Inc,Reverse,1 for 5
"Dec 14, 2020",SNDA,Sonida Senior Living Inc,Reverse,1 for 15
"Dec 11, 2020",SCPX,Scorpius Holdings Inc,Reverse,1 for 7
"Dec 9, 2020",EYPT,Eyepoint Pharmaceuticals Inc,Reverse,1 for 10
"Dec 9, 2020",CYTH,Cyclo Therapeutics Inc,Reverse,1 for 100
"Dec 9, 2020",AYTU,Aytu Biopharma Inc,Reverse,1 for 10
"Dec 7, 2020",WFCF,Where Food Comes From Inc,Reverse,1 for 4
"Dec 3, 2020",NBRVF,Nabriva Therapeutics PLC,Reverse,1 for 10
"Dec 2, 2020",VIVE,Viveve Medical Inc,Reverse,1 for 10
"Dec 1, 2020",TTNP,Titan Pharmaceuticals Inc,Reverse,1 for 30
"Dec 1, 2020",NCSM,Ncs Multistage Holdings Inc,Reverse,1 for 20
"Dec 1, 2020",AIV,Apartment Investment & Management Co.,Reverse,1 for 1.24
"Nov 30, 2020",NVNO,Envveno Medical Corp,Reverse,1 for 25
"Nov 29, 2020",PPCB,Propanc Biopharma Inc,Reverse,"1 for 1,000"
"Nov 27, 2020",DLPN,Dolphin Entertainment Inc,Reverse,1 for 5
"Nov 24, 2020",UAN,Cvr Partners Lp,Reverse,1 for 10
"Nov 23, 2020",HTGMQ,Htg Molecular Diagnostics Inc,Reverse,1 for 15
"Nov 23, 2020",FSTX,F-star Therapeutics Inc,Reverse,1 for 4
"Nov 23, 2020",ENSV,Enservco Corp,Reverse,1 for 15
"Nov 20, 2020",WINR,Simplicity Esports & Gaming Co.,Reverse,1 for 10
"Nov 20, 2020",LIXT,Lixte Biotechnology Holdings Inc,Reverse,1 for 6
"Nov 20, 2020",CVEO,Civeo Corp,Reverse,1 for 12
"Nov 20, 2020",BKYI,Bio Key International Inc,Reverse,1 for 8
"Nov 19, 2020",XYF,X Financial,Reverse,1 for 3
"Nov 18, 2020",MDVLQ,Medavail Holdings Inc,Reverse,1 for 12
"Nov 17, 2020",VTAK,Catheter Precision Inc,Reverse,1 for 25
"Nov 13, 2020",VRDN,Viridian Therapeutics Inc,Reverse,1 for 15
"Nov 12, 2020",PDS,Precision Drilling Corp,Reverse,1 for 20
"Nov 10, 2020",SMC,Summit Midstream Corp,Reverse,1 for 15
"Nov 10, 2020",JILL,Jjill Inc,Reverse,1 for 5
"Nov 10, 2020",FET,Forum Energy Technologies Inc,Reverse,1 for 20
"Nov 9, 2020",WYY,Widepoint Corp,Reverse,1 for 10
"Nov 9, 2020",COGT,Cogent Biosciences Inc,Reverse,1 for 4
"Nov 6, 2020",IRD,Opus Genetics Inc,Reverse,1 for 4
"Nov 5, 2020",NCPL,Netcapital Inc,Reverse,"1 for 2,000"
"Nov 2, 2020",PSHG,Performance Shipping Inc,Reverse,1 for 10
"Nov 2, 2020",MDLY,Medley Management Inc,Reverse,1 for 10
"Oct 30, 2020",JTCHY,Jianpu Technology Inc,Reverse,1 for 8
"Oct 30, 2020",INDP,Indaptus Therapeutics Inc,Reverse,1 for 20
"Oct 30, 2020",HPR,Highpoint Resources Corp,Reverse,1 for 50
"Oct 29, 2020",FRGT,Freight Technologies Inc,Reverse,1 for 5
"Oct 26, 2020",TRQ,Turquoise Hill Resources Ltd.,Reverse,1 for 10
"Oct 26, 2020",NEGG,Newegg Commerce Inc,Reverse,1 for 8
"Oct 22, 2020",TC,Token Cat Ltd.,Reverse,1 for 4
"Oct 21, 2020",GLBS,Globus Maritime Ltd.,Reverse,1 for 100
