Date,Symbol,Company Name,Type,Split Ratio
"Dec 28, 2023",GHI,Greystone Housing Impact Investors Lp,Forward,1 for 1
"Dec 26, 2023",NUKK,Nukkleus Inc,Forward,1.4 for 1
"Dec 1, 2023",CBSH,Commerce Bancshares Inc,Forward,1.05 for 1
"Nov 30, 2023",LARK,Landmark Bancorp Inc,Forward,1.05 for 1
"Nov 27, 2023",SNEX,Stonex Group Inc,Forward,1.5 for 1
"Nov 15, 2023",CELH,Celsius Holdings Inc,Forward,3 for 1
"Nov 1, 2023",MYND,Myndai Inc,Forward,2 for 1
"Nov 1, 2023",AAMCF,Altisource Asset Management Corp,Forward,1.7 for 1
"Oct 23, 2023",MLI,Mueller Industries Inc,Forward,2 for 1
"Oct 20, 2023",CYN,Cyngn Inc,Forward,1.1 for 1
"Sep 28, 2023",GHI,Greystone Housing Impact Investors Lp,Forward,1 for 1
"Sep 20, 2023",NVO,Novo Nordisk A S,Forward,2 for 1
"Sep 19, 2023",AROW,Arrow Financial Corp,Forward,1.03 for 1
"Sep 1, 2023",DSGR,Distribution Solutions Group Inc,Forward,2 for 1
"Aug 29, 2023",RUSHB,Rush Enterprises Inc,Forward,1.5 for 1
"Aug 29, 2023",RUSHA,Rush Enterprises Inc,Forward,1.5 for 1
"Aug 22, 2023",SRE,Sempra,Forward,2 for 1
"Aug 22, 2023",CPRT,Copart Inc,Forward,2 for 1
"Aug 17, 2023",AAON,Aaon Inc,Forward,1.5 for 1
"Aug 10, 2023",AZI,Autozi Internet Technology (global) Ltd.,Forward,50 for 1
"Aug 2, 2023",EXLS,Exlservice Holdings Inc,Forward,5 for 1
"Jul 31, 2023",SN,Sharkninja Inc,Forward,"2,779.66 for 1"
"Jul 6, 2023",SNFCA,Security National Financial Corp,Forward,1.05 for 1
"Jul 3, 2023",PASW,Ping An Biomedical Co Ltd.,Forward,1.6 for 1
"Jun 29, 2023",GHI,Greystone Housing Impact Investors Lp,Forward,1 for 1
"Jun 14, 2023",HWBK,Hawthorn Bancshares Inc,Forward,1.04 for 1
"Jun 8, 2023",CZFS,Citizens Financial Services Inc,Forward,1.01 for 1
"May 29, 2023",LGCL,Lucas Gc Ltd.,Forward,2 for 1
"May 22, 2023",CHDN,Churchill Downs Inc,Forward,2 for 1
"May 16, 2023",ADVB,Advanced Biomed Inc,Forward,4 for 1
"May 10, 2023",CRESY,Cresud Inc,Forward,1.02 for 1
"Mar 28, 2023",MNST,Monster Beverage Corp,Forward,2 for 1
"Mar 24, 2023",GCBC,Greene County Bancorp Inc,Forward,2 for 1
"Mar 24, 2023",FCUV,Focus Universal Inc,Forward,1.5 for 1
"Mar 22, 2023",GGB,Gerdau SA,Forward,1.05 for 1
"Mar 21, 2023",MRBK,Meridian Corp,Forward,2 for 1
"Mar 3, 2023",TR,Tootsie Roll Industries Inc,Forward,1.03 for 1
"Feb 8, 2023",PCAR,Paccar Inc,Forward,1.5 for 1
"Feb 1, 2023",FVCB,Fvcbankcorp Inc,Forward,1.25 for 1
"Jan 19, 2023",HXHX,Haoxin Holdings Ltd.,Forward,"12,000 for 1"
