Date,Symbol,Company Name,Type,Split Ratio
"Dec 6, 2019",FGBI,First Guaranty Bancshares Inc,Forward,1.1 for 1
"Dec 2, 2019",CBSH,Commerce Bancshares Inc,Forward,1.05 for 1
"Nov 29, 2019",LARK,Landmark Bancorp Inc,Forward,1.05 for 1
"Nov 12, 2019",MBCN,Middlefield Banc Corp,Forward,2 for 1
"Nov 12, 2019",CRESY,Cresud Inc,Forward,1.03 for 1
"Nov 8, 2019",TGS,Gas Transporter Of The South Inc,Forward,1.04 for 1
"Oct 29, 2019",TLSA,Tiziana Life Sciences Ltd.,Forward,2 for 1
"Oct 18, 2019",PVBC,Provident Bancorp Inc,Forward,2.02 for 1
"Oct 16, 2019",ELS,Equity Lifestyle Properties Inc,Forward,2 for 1
"Oct 9, 2019",CLWT,Euro Tech Holdings Co Ltd.,Forward,1.5 for 1
"Oct 1, 2019",PWOD,Penns Woods Bancorp Inc,Forward,1.5 for 1
"Sep 26, 2019",HDB,Hdfc Bank Ltd.,Forward,2 for 1
"Sep 23, 2019",SUZ,Suzano SA,Forward,2 for 1
"Sep 16, 2019",VGR,Vector Group Ltd.,Forward,1.05 for 1
"Sep 16, 2019",AROW,Arrow Financial Corp,Forward,1.03 for 1
"Aug 23, 2019",SPSC,Sps Commerce Inc,Forward,2 for 1
"Aug 15, 2019",HONE,Harborone Bancorp Inc,Forward,1.8 for 1
"Jul 25, 2019",GTS,Triple-s Management Corp,Forward,1.05 for 1
"Jul 1, 2019",NTIC,Northern Technologies International Corp,Forward,2 for 1
"Jun 25, 2019",VABK,Virginia National Bankshares Corp,Forward,1.05 for 1
"Jun 13, 2019",CZFS,Citizens Financial Services Inc,Forward,1.01 for 1
"Jun 11, 2019",AIRT,Air T Inc,Forward,1.5 for 1
"Jun 4, 2019",FFIN,First Financial Bankshares Inc,Forward,2 for 1
"May 23, 2019",FAST,Fastenal Co.,Forward,2 for 1
"Apr 25, 2019",UGP,Ultrapar Holdings Inc,Forward,2 for 1
"Apr 3, 2019",WRB,Berkley W R Corp,Forward,1.5 for 1
"Apr 1, 2019",BBDO,Bank Bradesco,Forward,1.2 for 1
"Apr 1, 2019",BBD,Bank Bradesco,Forward,1.2 for 1
"Mar 15, 2019",WIT,Wipro Ltd.,Forward,1.33 for 1
"Mar 4, 2019",TR,Tootsie Roll Industries Inc,Forward,1.03 for 1
"Feb 13, 2019",MDC,Mdc Holdings Inc,Forward,1.08 for 1
"Feb 7, 2019",CNC,Centene Corp,Forward,2 for 1
"Jan 28, 2019",CHDN,Churchill Downs Inc,Forward,3 for 1
"Jan 10, 2019",SNFCA,Security National Financial Corp,Forward,1.05 for 1
