Date,Symbol,Company Name,Type,Split Ratio
"Dec 24, 2020",FAT,Fat Brands Inc,Forward,1.14 for 1
"Dec 17, 2020",SF,Stifel Financial Corp,Forward,1.5 for 1
"Dec 14, 2020",WETH,Wetouch Technology Inc,Forward,"2,800 for 1"
"Dec 14, 2020",BEPC,Brookfield Renewable Corp,Forward,1.5 for 1
"Dec 14, 2020",BEP,Brookfield Renewable Partners Lp,Forward,1.5 for 1
"Dec 11, 2020",ROL,Rollins Inc,Forward,1.5 for 1
"Dec 1, 2020",MKC.V,Mccormick & Co Inc,Forward,2 for 1
"Dec 1, 2020",MKC,Mccormick & Co Inc,Forward,2 for 1
"Dec 1, 2020",LARK,Landmark Bancorp Inc,Forward,1.05 for 1
"Dec 1, 2020",CBSH,Commerce Bancshares Inc,Forward,1.05 for 1
"Nov 24, 2020",SGI,Somnigroup International Inc,Forward,4 for 1
"Nov 17, 2020",DQ,Daqo New Energy Corp,Forward,5 for 1
"Oct 27, 2020",NEE,Nextera Energy Inc,Forward,4 for 1
"Oct 13, 2020",RUSHB,Rush Enterprises Inc,Forward,1.5 for 1
"Oct 13, 2020",RUSHA,Rush Enterprises Inc,Forward,1.5 for 1
"Oct 2, 2020",NTES,Netease Inc,Forward,5 for 1
"Sep 16, 2020",AROW,Arrow Financial Corp,Forward,1.03 for 1
"Sep 15, 2020",TREX,Trex Co Inc,Forward,2 for 1
"Aug 31, 2020",TSLA,Tesla Inc,Forward,5 for 1
"Aug 31, 2020",NXTT,Next Technology Holding Inc,Forward,3 for 1
"Aug 31, 2020",AAPL,Apple Inc,Forward,4 for 1
"Aug 19, 2020",POWI,Power Integrations Inc,Forward,2 for 1
"Aug 14, 2020",MRTN,Marten Transport Ltd.,Forward,1.5 for 1
"Aug 13, 2020",CIG,Energy Co Of Minas Gerais,Forward,1.04 for 1
"Jul 31, 2020",TLSA,Tiziana Life Sciences Ltd.,Forward,2.5 for 1
"Jul 31, 2020",ARCO,Arcos Dorados Holdings Inc,Forward,1.01 for 1
"Jul 8, 2020",SNFCA,Security National Financial Corp,Forward,1.03 for 1
"Jun 12, 2020",HWBK,Hawthorn Bancshares Inc,Forward,1.04 for 1
"Jun 11, 2020",CZFS,Citizens Financial Services Inc,Forward,1.01 for 1
"Jun 1, 2020",EW,Edwards Lifesciences Corp,Forward,3 for 1
"Apr 2, 2020",BN,Brookfield Corp,Forward,1.5 for 1
"Mar 25, 2020",ODFL,Old Dominion Freight Line Inc,Forward,1.5 for 1
"Mar 18, 2020",TU,Telus Corp,Forward,2 for 1
"Mar 2, 2020",TR,Tootsie Roll Industries Inc,Forward,1.03 for 1
"Feb 28, 2020",WMG,Warner Music Group Corp,Forward,"477,242.61 for 1"
"Feb 25, 2020",YYAI,Connexa Sports Technologies Inc,Forward,4 for 1
"Feb 14, 2020",PKBK,Parke Bancorp Inc,Forward,1.1 for 1
"Jan 17, 2020",FFBW,Ffbw Inc,Forward,1.17 for 1
"Jan 14, 2020",NTTYY,Nippon Telegraph & Telephone Corp,Forward,2 for 1
"Jan 9, 2020",SNFCA,Security National Financial Corp,Forward,1.05 for 1
