Date,Symbol,Company Name,Type,Split Ratio
"Dec 31, 2012",AIRM,Air Methods Corp,Forward,3 for 1
"Dec 28, 2012",PRA,Proassurance Corp,Forward,2 for 1
"Dec 27, 2012",SOCB,Southcoast Financial Corp,Forward,1.15 for 1
"Dec 26, 2012",NKE,Nike Inc,Forward,2 for 1
"Dec 20, 2012",CCU,United Breweries Co Inc,Forward,2.5 for 1
"Dec 18, 2012",FWVB,First West Virginia Bancorp Inc,Forward,1.04 for 1
"Dec 17, 2012",SCL,Stepan Co.,Forward,2 for 1
"Dec 12, 2012",MTX,Minerals Technologies Inc,Forward,2 for 1
"Dec 12, 2012",FNBG,Fnb Bancorp,Forward,1.05 for 1
"Dec 12, 2012",BIOL,Biolase Inc,Forward,1.01 for 1
"Dec 4, 2012",FMS,Fresenius Medical Care Ag,Forward,2 for 1
"Dec 3, 2012",HAE,Haemonetics Corp,Forward,2 for 1
"Dec 3, 2012",CASS,Cass Information Systems Inc,Forward,1.1 for 1
"Nov 29, 2012",LARK,Landmark Bancorp Inc,Forward,1.05 for 1
"Nov 28, 2012",CBSH,Commerce Bancshares Inc,Forward,1.05 for 1
"Nov 13, 2012",HBNC,Horizon Bancorp Inc,Forward,1.5 for 1
"Nov 8, 2012",MCHB,Mechanics Bancorp,Forward,2 for 1
"Nov 7, 2012",MNRK,Monarch Financial Holdings Inc,Forward,1.2 for 1
"Oct 25, 2012",ATRO,Astronics Corp,Forward,1.15 for 1
"Oct 22, 2012",BSAC,Banco Santander Chile,Forward,2.6 for 1
"Oct 19, 2012",GEOS,Geospace Technologies Corp,Forward,2 for 1
"Oct 19, 2012",CVLY,Codorus Valley Bancorp Inc,Forward,1.05 for 1
"Oct 15, 2012",SHG,Shinhan Financial Group Co Ltd.,Forward,2 for 1
"Oct 15, 2012",MMP,Magellan Midstream Partners Lp,Forward,2 for 1
"Oct 10, 2012",UBFO,United Security Bancshares,Forward,1.01 for 1
"Oct 3, 2012",RHEP,Regional Health Properties Inc,Forward,1.05 for 1
"Oct 3, 2012",PZE,Petrobras Argentina SA,Forward,2 for 1
"Oct 2, 2012",PAA,Plains All American Pipeline Lp,Forward,2 for 1
"Oct 2, 2012",CTRX,Catamaran Corp,Forward,2 for 1
"Sep 24, 2012",MDVN,Medivation Inc,Forward,2 for 1
"Sep 19, 2012",LKQ,Lkq Corp,Forward,2 for 1
"Sep 17, 2012",AROW,Arrow Financial Corp,Forward,1.02 for 1
"Sep 12, 2012",BIOL,Biolase Inc,Forward,1.01 for 1
"Sep 10, 2012",ODFL,Old Dominion Freight Line Inc,Forward,1.5 for 1
"Aug 30, 2012",AFSI,Amtrust Financial Services Inc,Forward,1.1 for 1
