Date,Symbol,Company Name,Type,Split Ratio
"Dec 29, 2022",GHI,Greystone Housing Impact Investors Lp,Forward,1.01 for 1
"Dec 15, 2022",MBC,Masterbrand Inc,Forward,"1,280 for 1"
"Dec 14, 2022",SUM,Summit Materials Inc,Forward,1.02 for 1
"Dec 1, 2022",LARK,Landmark Bancorp Inc,Forward,1.05 for 1
"Dec 1, 2022",CBSH,Commerce Bancshares Inc,Forward,1.05 for 1
"Nov 30, 2022",TECH,Bio-techne Corp,Forward,4 for 1
"Nov 10, 2022",UHAL,U-haul Holding Co.,Forward,10 for 1
"Nov 9, 2022",MGRM,Monogram Technologies Inc,Forward,2 for 1
"Nov 4, 2022",CPRT,Copart Inc,Forward,2 for 1
"Sep 29, 2022",GHI,Greystone Housing Impact Investors Lp,Forward,1.01 for 1
"Sep 16, 2022",AROW,Arrow Financial Corp,Forward,1.03 for 1
"Sep 14, 2022",PANW,Palo Alto Networks Inc,Forward,3 for 1
"Sep 6, 2022",SUPX,Super X Ai Technology Ltd.,Forward,"10,714.29 for 1"
"Aug 29, 2022",NDAQ,Nasdaq Inc,Forward,3 for 1
"Aug 25, 2022",TSLA,Tesla Inc,Forward,3 for 1
"Aug 12, 2022",NTRB,Nutriband Inc,Forward,1.17 for 1
"Aug 8, 2022",REX,Rex American Resources Corp,Forward,3 for 1
"Jul 22, 2022",GME,Gamestop Corp,Forward,4 for 1
"Jul 18, 2022",GOOG,Alphabet Inc,Forward,20 for 1
"Jul 15, 2022",LBGJ,Li Bang International Corp Inc,Forward,"1,700 for 1"
"Jul 8, 2022",ICG,Intchains Group Ltd.,Forward,100 for 1
"Jul 1, 2022",SAL,Salisbury Bancorp Inc,Forward,2 for 1
"Jul 1, 2022",CTO,Cto Realty Growth Inc,Forward,3 for 1
"Jun 30, 2022",SNFCA,Security National Financial Corp,Forward,1.05 for 1
"Jun 29, 2022",SHOP,Shopify Inc,Forward,10 for 1
"Jun 23, 2022",FTNT,Fortinet Inc,Forward,5 for 1
"Jun 15, 2022",SBIG,Springbig Holdings Inc,Forward,2 for 1
"Jun 14, 2022",HWBK,Hawthorn Bancshares Inc,Forward,1.04 for 1
"Jun 13, 2022",DXCM,Dexcom Inc,Forward,4 for 1
"Jun 13, 2022",BIPC,Brookfield Infrastructure Corp,Forward,1.5 for 1
"Jun 13, 2022",BIP,Brookfield Infrastructure Partners Lp,Forward,1.5 for 1
"Jun 9, 2022",KNTK,Kinetik Holdings Inc,Forward,2 for 1
"Jun 9, 2022",CZFS,Citizens Financial Services Inc,Forward,1.01 for 1
"Jun 7, 2022",AMRK,A-mark Precious Metals Inc,Forward,2 for 1
"Jun 6, 2022",AMZN,Amazon Com Inc,Forward,20 for 1
"May 19, 2022",CIG.C,Energy Co Of Minas Gerais,Forward,1.3 for 1
"May 19, 2022",CIG,Energy Co Of Minas Gerais,Forward,1.3 for 1
"May 16, 2022",CM,Canadian Imperial Bank Of Commerce,Forward,2 for 1
"Apr 19, 2022",BBDO,Bank Bradesco,Forward,1.1 for 1
"Apr 19, 2022",BBD,Bank Bradesco,Forward,1.1 for 1
"Mar 30, 2022",PAMT,Pamt Corp,Forward,2 for 1
"Mar 28, 2022",HLP,Hongli Group Inc,Forward,"180,000 for 1"
"Mar 24, 2022",WRB,Berkley W R Corp,Forward,1.5 for 1
"Mar 24, 2022",ACMR,Acm Research Inc,Forward,3 for 1
"Mar 4, 2022",TR,Tootsie Roll Industries Inc,Forward,1.03 for 1
"Feb 2, 2022",PENG,Penguin Solutions Inc,Forward,2 for 1
"Jan 24, 2022",CLWT,Euro Tech Holdings Co Ltd.,Forward,1.5 for 1
"Jan 20, 2022",SBFG,Sb Financial Group Inc,Forward,1.05 for 1
"Jan 18, 2022",MBIN,Merchants Bancorp,Forward,1.5 for 1
"Jan 10, 2022",MPU,Mega Matrix Corp,Forward,5 for 1
"Jan 5, 2022",ZYXI,Zynex Inc,Forward,1.1 for 1
"Jan 5, 2022",NSSC,Napco Security Technologies Inc,Forward,2 for 1
