Date,Symbol,Company Name,Type,Split Ratio
"Dec 29, 2016",UBFO,United Security Bancshares,Forward,1.01 for 1
"Dec 21, 2016",SFBS,Servisfirst Bancshares Inc,Forward,2 for 1
"Dec 9, 2016",WFBI,Washingtonfirst Bankshares Inc,Forward,1.05 for 1
"Dec 8, 2016",SUM,Summit Materials Inc,Forward,1.01 for 1
"Dec 2, 2016",MDC,Mdc Holdings Inc,Forward,1.05 for 1
"Nov 30, 2016",PFBI,Premier Financial Bancorp Inc,Forward,1.1 for 1
"Nov 30, 2016",CBSH,Commerce Bancshares Inc,Forward,1.05 for 1
"Nov 29, 2016",LARK,Landmark Bancorp Inc,Forward,1.05 for 1
"Nov 29, 2016",FLIC,First Of Long Island Corp,Forward,1.5 for 1
"Nov 23, 2016",USNA,Usana Health Sciences Inc,Forward,2 for 1
"Nov 15, 2016",HBNC,Horizon Bancorp Inc,Forward,1.5 for 1
"Nov 15, 2016",CRESY,Cresud Inc,Forward,1.01 for 1
"Nov 10, 2016",MNST,Monster Beverage Corp,Forward,3 for 1
"Nov 4, 2016",ICE,Intercontinental Exchange Inc,Forward,5 for 1
"Oct 26, 2016",TLK,Perusahaan Perseroan Persero Pt Telekomunikasi Indonesia Tbk,Forward,2 for 1
"Oct 21, 2016",CVLY,Codorus Valley Bancorp Inc,Forward,1.05 for 1
"Oct 18, 2016",ITUB,Itau Unibanco Holding SA,Forward,1.1 for 1
"Oct 6, 2016",ATRO,Astronics Corp,Forward,1.15 for 1
"Oct 6, 2016",AOS,Smith A O Corp,Forward,2 for 1
"Oct 5, 2016",UBFO,United Security Bancshares,Forward,1.01 for 1
"Oct 3, 2016",CAC,Camden National Corp,Forward,1.5 for 1
"Sep 19, 2016",VGR,Vector Group Ltd.,Forward,1.05 for 1
"Sep 19, 2016",TTC,Toro Co.,Forward,2 for 1
"Sep 19, 2016",AROW,Arrow Financial Corp,Forward,1.03 for 1
"Sep 16, 2016",BMI,Badger Meter Inc,Forward,2 for 1
"Sep 15, 2016",BIP,Brookfield Infrastructure Partners Lp,Forward,1.5 for 1
"Sep 13, 2016",UNTY,Unity Bancorp Inc,Forward,1.1 for 1
"Sep 2, 2016",CHD,Church & Dwight Co Inc,Forward,2 for 1
"Aug 19, 2016",BF.B,Brown Forman Corp,Forward,2 for 1
"Aug 19, 2016",BF.A,Brown Forman Corp,Forward,2 for 1
"Aug 8, 2016",LKFN,Lakeland Financial Corp,Forward,1.5 for 1
"Aug 4, 2016",VSEC,Vse Corp,Forward,2 for 1
"Aug 2, 2016",GENC,Gencor Industries Inc,Forward,1.5 for 1
"Jul 6, 2016",UBFO,United Security Bancshares,Forward,1.01 for 1
"Jul 6, 2016",BCH,Bank Of Chile,Forward,1.02 for 1
"Jun 28, 2016",CORE,Core-mark Holding Company Inc,Forward,2 for 1
"Jun 27, 2016",SSNC,Ss&c Technologies Holdings Inc,Forward,2 for 1
"Jun 21, 2016",CZFS,Citizens Financial Services Inc,Forward,1.01 for 1
"Jun 13, 2016",HWBK,Hawthorn Bancshares Inc,Forward,1.04 for 1
"Jun 9, 2016",HOMB,Home Bancshares Inc,Forward,2 for 1
"May 31, 2016",SYBT,Stock Yards Bancorp Inc,Forward,1.5 for 1
"May 27, 2016",ARGO,Argo Group International Holdings Ltd.,Forward,1.1 for 1
"May 26, 2016",SBSI,Southside Bancshares Inc,Forward,1.05 for 1
"May 20, 2016",LNT,Alliant Energy Corp,Forward,2 for 1
"May 10, 2016",CPL,Cpfl Energy Inc,Forward,1.03 for 1
"May 2, 2016",PKBK,Parke Bancorp Inc,Forward,1.1 for 1
"Apr 29, 2016",CX,Cemex SAB de CV,Forward,1.04 for 1
"Apr 27, 2016",BBDO,Bank Bradesco,Forward,1.1 for 1
"Apr 18, 2016",BBD,Bank Bradesco,Forward,1.1 for 1
"Apr 8, 2016",UAA,Under Armour Inc,Forward,2 for 1
"Apr 8, 2016",UA,Under Armour Inc,Forward,2 for 1
"Apr 4, 2016",LINK,Interlink Electronics Inc,Forward,1.25 for 1
"Mar 31, 2016",UBFO,United Security Bancshares,Forward,1.01 for 1
"Mar 16, 2016",GCBC,Greene County Bancorp Inc,Forward,2 for 1
"Mar 4, 2016",TR,Tootsie Roll Industries Inc,Forward,1.03 for 1
"Feb 10, 2016",HRL,Hormel Foods Corp,Forward,2 for 1
"Feb 3, 2016",AFSI,Amtrust Financial Services Inc,Forward,2 for 1
"Jan 13, 2016",SNFCA,Security National Financial Corp,Forward,1.05 for 1
"Jan 12, 2016",MTL,Mechel Pao,Forward,3 for 1
"Jan 12, 2016",FCCY,1st Constitution Bancorp,Forward,1.05 for 1
"Jan 5, 2016",SHEN,Shenandoah Telecommunications Co.,Forward,2 for 1
"Jan 4, 2016",GRFS,Grifols SA,Forward,2 for 1
