Date,Symbol,Company Name,Type,Split Ratio
"Dec 30, 2010",TGHI,Touchpoint Group Holdings Inc,Forward,7 for 1
"Dec 28, 2010",ABV,American Beverage Co Ambev,Forward,5 for 1
"Dec 28, 2010",ABEV,Ambev SA,Forward,5 for 1
"Dec 27, 2010",MNRO,Monro Inc,Forward,1.5 for 1
"Dec 22, 2010",CFFN,Capitol Federal Financial Inc,Forward,2 for 1
"Dec 22, 2010",AME,Ametek Inc,Forward,1.5 for 1
"Dec 21, 2010",CHHP,C&d Technologies Inc,Forward,1.37 for 1
"Dec 20, 2010",FWVB,First West Virginia Bancorp Inc,Forward,1.04 for 1
"Dec 15, 2010",MMATQ,Meta Materials Inc,Forward,4 for 1
"Dec 13, 2010",ROL,Rollins Inc,Forward,1.5 for 1
"Dec 13, 2010",RES,Rpc Inc,Forward,1.5 for 1
"Dec 2, 2010",CBSH,Commerce Bancshares Inc,Forward,1.05 for 1
"Dec 1, 2010",FNBG,Fnb Bancorp,Forward,1.05 for 1
"Nov 30, 2010",XXII,22nd Century Group Inc,Forward,2.78 for 1
"Nov 29, 2010",LARK,Landmark Bancorp Inc,Forward,1.05 for 1
"Nov 26, 2010",MGA,Magna International Inc,Forward,2 for 1
"Nov 16, 2010",RAI,Reynolds American Inc,Forward,2 for 1
"Nov 16, 2010",AOS,Smith A O Corp,Forward,1.5 for 1
"Nov 15, 2010",WCN,Waste Connections Inc,Forward,1.5 for 1
"Nov 15, 2010",HCSG,Healthcare Services Group Inc,Forward,1.5 for 1
"Nov 9, 2010",RVBD,Riverbed Technology Inc,Forward,2 for 1
"Oct 28, 2010",CSBC,Citizens South Banking Corp,Forward,1.05 for 1
"Oct 18, 2010",CBDBY,Brazilian Distribution Co Companhia Brasileira De Distr Cbd,Forward,2 for 1
"Oct 6, 2010",UBFO,United Security Bancshares,Forward,1.01 for 1
"Sep 28, 2010",RHEP,Regional Health Properties Inc,Forward,1.05 for 1
"Sep 28, 2010",HFBC,Hopfed Bancorp Inc,Forward,1.02 for 1
"Sep 22, 2010",TRCB,Two River Bancorp,Forward,1.05 for 1
"Sep 20, 2010",CTRX,Catamaran Corp,Forward,2 for 1
"Sep 17, 2010",AROW,Arrow Financial Corp,Forward,1.03 for 1
"Sep 8, 2010",BKSC,Bank Of South Carolina Corp,Forward,1.1 for 1
"Sep 3, 2010",TSCO,Tractor Supply Co.,Forward,2 for 1
"Aug 31, 2010",RMD,Resmed Inc,Forward,2 for 1
"Aug 24, 2010",ODFL,Old Dominion Freight Line Inc,Forward,1.5 for 1
"Aug 19, 2010",JOSB,Bank Jos A Clothiers Inc,Forward,1.5 for 1
"Aug 10, 2010",CEAYY,China Eastern Airlines Corp Ltd.,Forward,2 for 1
"Jul 26, 2010",AMRC,Ameresco Inc,Forward,2 for 1
