Date,Symbol,Company Name,Type,Split Ratio
"Dec 28, 2018",DELL,Dell Technologies Inc,Forward,1.81 for 1
"Dec 11, 2018",ROL,Rollins Inc,Forward,1.5 for 1
"Dec 3, 2018",CASS,Cass Information Systems Inc,Forward,1.2 for 1
"Nov 30, 2018",LARK,Landmark Bancorp Inc,Forward,1.05 for 1
"Nov 29, 2018",CBSH,Commerce Bancshares Inc,Forward,1.05 for 1
"Nov 28, 2018",ITUB,Itau Unibanco Holding SA,Forward,1.5 for 1
"Nov 28, 2018",BMRC,Bank Of Marin Bancorp,Forward,2 for 1
"Nov 23, 2018",BCH,Bank Of Chile,Forward,3 for 1
"Nov 8, 2018",CRESY,Cresud Inc,Forward,1.04 for 1
"Nov 7, 2018",TJX,Tjx Companies Inc,Forward,2 for 1
"Oct 12, 2018",SHOO,Steven Madden Ltd.,Forward,1.5 for 1
"Oct 11, 2018",ATRO,Astronics Corp,Forward,1.15 for 1
"Oct 5, 2018",CASH,Pathward Financial Inc,Forward,3 for 1
"Sep 18, 2018",AROW,Arrow Financial Corp,Forward,1.03 for 1
"Sep 17, 2018",VGR,Vector Group Ltd.,Forward,1.05 for 1
"Sep 12, 2018",INFY,Infosys Ltd.,Forward,2 for 1
"Aug 28, 2018",GRVY,Gravity Co Ltd.,Forward,2 for 1
"Aug 27, 2018",MHH,Mastech Digital Inc,Forward,2 for 1
"Aug 23, 2018",EDUC,Educational Development Corp,Forward,2 for 1
"Aug 11, 2018",ONDS,Ondas Holdings Inc,Forward,10 for 1
"Jul 26, 2018",BCH,Bank Of Chile,Forward,1.02 for 1
"Jul 13, 2018",PFC,Premier Financial Corp,Forward,2 for 1
"Jul 13, 2018",BKJ,Bancorp Of New Jersey Inc,Forward,1.05 for 1
"Jul 12, 2018",MSVB,Mid-southern Bancorp Inc,Forward,2.35 for 1
"Jun 28, 2018",HEI,Heico Corp,Forward,1.25 for 1
"Jun 21, 2018",GDC,Gd Culture Group Ltd.,Forward,2 for 1
"Jun 21, 2018",ACGL,Arch Capital Group Ltd.,Forward,3 for 1
"Jun 19, 2018",TREX,Trex Co Inc,Forward,2 for 1
"Jun 18, 2018",HBNC,Horizon Bancorp Inc,Forward,1.5 for 1
"Jun 14, 2018",HWBK,Hawthorn Bancshares Inc,Forward,1.04 for 1
"Jun 14, 2018",CZFS,Citizens Financial Services Inc,Forward,1.01 for 1
"Jun 11, 2018",PFBI,Premier Financial Bancorp Inc,Forward,1.25 for 1
"Jun 8, 2018",EXPO,Exponent Inc,Forward,2 for 1
"Jun 1, 2018",CVIAQ,Covia Holdings Corp,Forward,89 for 1
"May 29, 2018",JCTC,Jewett Cameron Trading Co Ltd.,Forward,2 for 1
"May 25, 2018",HTHT,H World Group Ltd.,Forward,4 for 1
"May 15, 2018",HLF,Herbalife Ltd.,Forward,2 for 1
"May 10, 2018",EFSH,1847 Holdings LLC,Forward,5 for 1
"May 9, 2018",COFS,Choiceone Financial Services Inc,Forward,1.05 for 1
"May 3, 2018",PKBK,Parke Bancorp Inc,Forward,1.1 for 1
"May 1, 2018",GMAB,Genmab A,Forward,5 for 1
"Apr 27, 2018",BKSC,Bank Of South Carolina Corp,Forward,1.1 for 1
"Apr 12, 2018",SBSW,Sibanye Stillwater Ltd.,Forward,1.04 for 1
"Apr 9, 2018",BBDO,Bank Bradesco,Forward,1.1 for 1
"Apr 2, 2018",VABK,Virginia National Bankshares Corp,Forward,1.05 for 1
"Apr 2, 2018",BBD,Bank Bradesco,Forward,1.1 for 1
"Mar 29, 2018",BRO,Brown & Brown Inc,Forward,2 for 1
"Mar 20, 2018",FI,Fiserv Inc,Forward,2 for 1
"Mar 19, 2018",AFL,Aflac Inc,Forward,2 for 1
"Mar 6, 2018",ARGO,Argo Group International Holdings Ltd.,Forward,1.15 for 1
"Mar 5, 2018",TR,Tootsie Roll Industries Inc,Forward,1.03 for 1
"Mar 1, 2018",BF.A,Brown Forman Corp,Forward,1.25 for 1
"Feb 28, 2018",BF.B,Brown Forman Corp,Forward,1.25 for 1
"Feb 9, 2018",SFNC,Simmons First National Corp,Forward,2 for 1
"Jan 18, 2018",HEI,Heico Corp,Forward,1.25 for 1
"Jan 11, 2018",SNFCA,Security National Financial Corp,Forward,1.05 for 1
"Jan 2, 2018",NEOG,Neogen Corp,Forward,1.33 for 1
