Date,Symbol,Company Name,Type,Split Ratio
"Dec 30, 2015",UBFO,United Security Bancshares,Forward,1.01 for 1
"Dec 24, 2015",NKE,Nike Inc,Forward,2 for 1
"Dec 24, 2015",ENSG,Ensign Group Inc,Forward,2 for 1
"Dec 16, 2015",LEXX,Lexaria Bioscience Corp,Forward,1.1 for 1
"Dec 14, 2015",EW,Edwards Lifesciences Corp,Forward,2 for 1
"Dec 9, 2015",SUM,Summit Materials Inc,Forward,1.02 for 1
"Dec 8, 2015",FGBI,First Guaranty Bancshares Inc,Forward,1.1 for 1
"Dec 8, 2015",BTTGY,Bt Group PLC,Forward,2 for 1
"Dec 2, 2015",TCOM,Tripcom Group Ltd.,Forward,2 for 1
"Dec 1, 2015",STGG,Stg Group Inc,Forward,1.94 for 1
"Nov 30, 2015",LARK,Landmark Bancorp Inc,Forward,1.05 for 1
"Nov 24, 2015",CBSH,Commerce Bancshares Inc,Forward,1.05 for 1
"Nov 18, 2015",AX,Axos Financial Inc,Forward,4 for 1
"Nov 12, 2015",SYBX,Synlogic Inc,Forward,15 for 1
"Nov 12, 2015",DTSS,Datasea Inc,Forward,5 for 1
"Nov 9, 2015",MNRK,Monarch Financial Holdings Inc,Forward,1.1 for 1
"Nov 3, 2015",GPN,Global Payments Inc,Forward,2 for 1
"Oct 23, 2015",CVLY,Codorus Valley Bancorp Inc,Forward,1.05 for 1
"Oct 16, 2015",SKX,Skechers Usa Inc,Forward,3 for 1
"Oct 6, 2015",ATRO,Astronics Corp,Forward,1.15 for 1
"Oct 1, 2015",UBFO,United Security Bancshares,Forward,1.01 for 1
"Sep 22, 2015",JHX,James Hardie Industries PLC,Forward,5 for 1
"Sep 17, 2015",AROW,Arrow Financial Corp,Forward,1.02 for 1
"Sep 16, 2015",MDVN,Medivation Inc,Forward,2 for 1
"Sep 14, 2015",VGR,Vector Group Ltd.,Forward,1.05 for 1
"Sep 3, 2015",BKSC,Bank Of South Carolina Corp,Forward,1.1 for 1
"Sep 1, 2015",RAI,Reynolds American Inc,Forward,2 for 1
"Aug 31, 2015",FBIZ,First Business Financial Services Inc,Forward,2 for 1
"Aug 17, 2015",ZG,Zillow Group Inc,Forward,3 for 1
"Aug 3, 2015",SRCE,1st Source Corp,Forward,1.1 for 1
"Jul 31, 2015",BCH,Bank Of Chile,Forward,1.02 for 1
"Jul 27, 2015",ET,Energy Transfer Lp,Forward,2 for 1
"Jul 27, 2015",AZN,Astrazeneca PLC,Forward,2 for 1
"Jul 15, 2015",NFLX,Netflix Inc,Forward,7 for 1
"Jul 14, 2015",KR,Kroger Co.,Forward,2 for 1
"Jul 14, 2015",ITUB,Itau Unibanco Holding SA,Forward,1.1 for 1
"Jul 13, 2015",CARO,Carolina Financial Corp,Forward,1.2 for 1
"Jul 1, 2015",UBFO,United Security Bancshares,Forward,1.01 for 1
"Jul 1, 2015",RENX,Relx PLC,Forward,3.08 for 1
"Jul 1, 2015",RELX,Relx PLC,Forward,4 for 1
