Date,Symbol,Company Name,Type,Split Ratio
"Oct 29, 2025",NVA,Nova Minerals Ltd.,Forward,5 for 1
"Oct 29, 2025",LINK,Interlink Electronics Inc,Forward,1.5 for 1
"Oct 10, 2025",BNT,Brookfield Wealth Solutions Ltd.,Forward,1.5 for 1
"Oct 10, 2025",BN,Brookfield Corp,Forward,1.5 for 1
"Sep 23, 2025",NRIM,Northrim Bancorp Inc,Forward,4 for 1
"Sep 16, 2025",REX,Rex American Resources Corp,Forward,2 for 1
"Sep 9, 2025",DGNX,Diginex Ltd.,Forward,8 for 1
"Sep 8, 2025",HDB,Hdfc Bank Ltd.,Forward,2 for 1
"Jul 31, 2025",VSTD,Vestand Inc,Forward,4 for 1
"Jul 1, 2025",APG,Api Group Corp,Forward,1.5 for 1
"Jun 23, 2025",PEGA,Pegasystems Inc,Forward,2 for 1
"Jun 18, 2025",IBKR,Interactive Brokers Group Inc,Forward,4 for 1
"Jun 16, 2025",RGC,Regencell Bioscience Holdings Ltd.,Forward,38 for 1
"Jun 10, 2025",ORLY,O Reilly Automotive Inc,Forward,15 for 1
"May 27, 2025",COKE,Coca-cola Consolidated Inc,Forward,10 for 1
"May 22, 2025",FAST,Fastenal Co.,Forward,2 for 1
"May 21, 2025",DFDV,Defi Development Corp,Forward,7 for 1
"Mar 31, 2025",SEZL,Sezzle Inc,Forward,6 for 1
"Mar 24, 2025",SNEX,Stonex Group Inc,Forward,1.5 for 1
"Mar 24, 2025",FCHL,Fitness Champs Holdings Ltd.,Forward,"15,000 for 1"
"Mar 19, 2025",ITUB,Itau Unibanco Holding SA,Forward,1.1 for 1
"Mar 5, 2025",TR,Tootsie Roll Industries Inc,Forward,1.03 for 1
"Feb 28, 2025",IX,Orix Corp,Forward,5 for 1
"Feb 7, 2025",FTLF,Fitlife Brands Inc,Forward,2 for 1
"Jan 16, 2025",RLI,Rli Corp,Forward,2 for 1
"Jan 13, 2025",OBT,Orange County Bancorp Inc,Forward,2 for 1
"Jan 7, 2025",TCBP,Tc Biopharm (holdings) PLC,Forward,1.25 for 1
"Jan 6, 2025",ODC,Oil-dri Corp Of America,Forward,2 for 1
"Jan 3, 2025",MTH,Meritage Homes Corp,Forward,2 for 1
"Jan 2, 2025",CVLG,Covenant Logistics Group Inc,Forward,2 for 1
