Date,Symbol,Company Name,Type,Split Ratio
"Dec 26, 2024",CRVL,Corvel Corp,Forward,3 for 1
"Dec 20, 2024",TSCO,Tractor Supply Co.,Forward,5 for 1
"Dec 16, 2024",PATK,Patrick Industries Inc,Forward,1.5 for 1
"Dec 16, 2024",PANW,Palo Alto Networks Inc,Forward,2 for 1
"Dec 13, 2024",ETR,Entergy Corp,Forward,2 for 1
"Dec 11, 2024",WIT,Wipro Ltd.,Forward,2 for 1
"Dec 4, 2024",ANET,Arista Networks Inc,Forward,4 for 1
"Dec 3, 2024",CBSH,Commerce Bancshares Inc,Forward,1.05 for 1
"Dec 2, 2024",LARK,Landmark Bancorp Inc,Forward,1.05 for 1
"Nov 27, 2024",BRIA,Brillia Inc,Forward,"1,000 for 1"
"Nov 6, 2024",SCCO,Southern Copper Corp,Forward,1.01 for 1
"Nov 5, 2024",RDY,Dr Reddys Laboratories Ltd.,Forward,5 for 1
"Oct 11, 2024",TBH,Brag House Holdings Inc,Forward,2.11 for 1
"Oct 11, 2024",NVEE,Nv5 Global Inc,Forward,4 for 1
"Oct 9, 2024",SONY,Sony Group Corp,Forward,5 for 1
"Oct 3, 2024",LRCX,Lam Research Corp,Forward,10 for 1
"Oct 2, 2024",ILLR,Triller Group Inc,Forward,1.94 for 1
"Oct 1, 2024",SMCI,Super Micro Computer Inc,Forward,10 for 1
"Sep 30, 2024",RYAAY,Ryanair Holdings PLC,Forward,2.5 for 1
"Sep 17, 2024",DECK,Deckers Outdoor Corp,Forward,6 for 1
"Sep 12, 2024",CTAS,Cintas Corp,Forward,4 for 1
"Sep 9, 2024",TTEK,Tetra Tech Inc,Forward,5 for 1
"Aug 9, 2024",SCCO,Southern Copper Corp,Forward,1.01 for 1
"Aug 8, 2024",MSTR,Strategy Inc,Forward,10 for 1
"Jul 15, 2024",USLM,United States Lime & Minerals Inc,Forward,5 for 1
"Jul 15, 2024",AVGO,Broadcom Inc,Forward,10 for 1
"Jul 11, 2024",WRB,Berkley W R Corp,Forward,1.5 for 1
"Jul 9, 2024",WSM,Williams Sonoma Inc,Forward,2 for 1
"Jul 5, 2024",SNFCA,Security National Financial Corp,Forward,1.05 for 1
"Jun 26, 2024",CMG,Chipotle Mexican Grill Inc,Forward,50 for 1
"Jun 24, 2024",BBSI,Barrett Business Services Inc,Forward,4 for 1
"Jun 14, 2024",JUNS,Jupiter Neurosciences Inc,Forward,3.75 for 1
"Jun 14, 2024",CZFS,Citizens Financial Services Inc,Forward,1.01 for 1
"Jun 12, 2024",APH,Amphenol Corp,Forward,2 for 1
"Jun 11, 2024",CNQ,Canadian Natural Resources Ltd.,Forward,2 for 1
"Jun 10, 2024",NVDA,Nvidia Corp,Forward,10 for 1
"May 24, 2024",CIG.C,Energy Co Of Minas Gerais,Forward,1.3 for 1
"May 24, 2024",CIG,Energy Co Of Minas Gerais,Forward,1.3 for 1
"May 7, 2024",SCCO,Southern Copper Corp,Forward,1.01 for 1
"Apr 25, 2024",XTKG,X3 Holdings Co Ltd.,Forward,1.06 for 1
"Apr 18, 2024",GGB,Gerdau SA,Forward,1.2 for 1
"Apr 15, 2024",FRPH,Frp Holdings Inc,Forward,2 for 1
"Mar 28, 2024",ODFL,Old Dominion Freight Line Inc,Forward,2 for 1
"Mar 27, 2024",TPL,Texas Pacific Land Corp,Forward,3 for 1
"Mar 27, 2024",GHI,Greystone Housing Impact Investors Lp,Forward,1 for 1
"Mar 25, 2024",LINK,Interlink Electronics Inc,Forward,1.5 for 1
"Mar 21, 2024",CSPI,Csp Inc,Forward,2 for 1
"Mar 5, 2024",TR,Tootsie Roll Industries Inc,Forward,1.03 for 1
"Mar 4, 2024",YHC,Lqr House Inc,Forward,1.5 for 1
"Feb 26, 2024",WMT,Walmart Inc,Forward,3 for 1
"Feb 20, 2024",COO,Cooper Companies Inc,Forward,4 for 1
"Feb 9, 2024",CENTA,Central Garden & Pet Co.,Forward,1.25 for 1
"Feb 9, 2024",CENT,Central Garden & Pet Co.,Forward,1.25 for 1
"Feb 8, 2024",ZJYL,Jin Medical International Ltd.,Forward,20 for 1
"Jan 29, 2024",HUBG,Hub Group Inc,Forward,2 for 1
