Date,Symbol,Company Name,Type,Split Ratio
"Dec 14, 2021",PLUS,Eplus Inc,Forward,2 for 1
"Dec 14, 2021",FGBI,First Guaranty Bancshares Inc,Forward,1.1 for 1
"Dec 2, 2021",FTLF,Fitlife Brands Inc,Forward,4 for 1
"Dec 1, 2021",CBSH,Commerce Bancshares Inc,Forward,1.05 for 1
"Nov 30, 2021",LARK,Landmark Bancorp Inc,Forward,1.05 for 1
"Nov 18, 2021",ANET,Arista Networks Inc,Forward,4 for 1
"Nov 12, 2021",SRL,Scully Royalty Ltd.,Forward,1.08 for 1
"Oct 28, 2021",SSBI,Summit State Bank,Forward,1.1 for 1
"Oct 13, 2021",MCHP,Microchip Technology Inc,Forward,2 for 1
"Oct 12, 2021",LXU,Lsb Industries Inc,Forward,1.3 for 1
"Oct 5, 2021",ISRG,Intuitive Surgical Inc,Forward,3 for 1
"Oct 1, 2021",INMD,Inmode Ltd.,Forward,2 for 1
"Sep 22, 2021",RJF,Raymond James Financial Inc,Forward,1.5 for 1
"Sep 16, 2021",FSFG,First Savings Financial Group Inc,Forward,3 for 1
"Sep 16, 2021",AROW,Arrow Financial Corp,Forward,1.03 for 1
"Aug 23, 2021",IDAI,T Stamp Inc,Forward,5 for 1
"Aug 17, 2021",PAMT,Pamt Corp,Forward,2 for 1
"Jul 27, 2021",IRCP,Irsa Propiedades Comerciales SA,Forward,4.29 for 1
"Jul 23, 2021",REAX,Real Brokerage Inc,Forward,4 for 1
"Jul 20, 2021",SCVL,Shoe Carnival Inc,Forward,2 for 1
"Jul 20, 2021",NVDA,Nvidia Corp,Forward,4 for 1
"Jul 15, 2021",FSBW,Fs Bancorp Inc,Forward,2 for 1
"Jul 15, 2021",BCOW,1895 Bancorp Of Wisconsin Inc,Forward,1.32 for 1
"Jul 13, 2021",ARCO,Arcos Dorados Holdings Inc,Forward,1.01 for 1
"Jul 8, 2021",SNFCA,Security National Financial Corp,Forward,1.05 for 1
"Jun 29, 2021",CSX,Csx Corp,Forward,3 for 1
"Jun 28, 2021",CSGP,Costar Group Inc,Forward,10 for 1
"Jun 24, 2021",BOTJ,Bank Of The James Financial Group Inc,Forward,1.1 for 1
"Jun 17, 2021",TTD,Trade Desk Inc,Forward,10 for 1
"Jun 15, 2021",HWBK,Hawthorn Bancshares Inc,Forward,1.04 for 1
"Jun 7, 2021",NEOG,Neogen Corp,Forward,2 for 1
"May 14, 2021",CP,Canadian Pacific Kansas City Ltd.,Forward,5 for 1
"May 13, 2021",SRL,Scully Royalty Ltd.,Forward,1.09 for 1
"May 3, 2021",CIG,Energy Co Of Minas Gerais,Forward,1.11 for 1
"May 3, 2021",BRBS,Blue Ridge Bankshares Inc,Forward,1.5 for 1
"May 3, 2021",ALNT,Allient Inc,Forward,1.5 for 1
"Apr 19, 2021",BBD,Bank Bradesco,Forward,1.1 for 1
"Apr 8, 2021",AVNW,Aviat Networks Inc,Forward,2 for 1
"Apr 1, 2021",SHW,Sherwin Williams Co.,Forward,3 for 1
"Apr 1, 2021",HFBL,Home Federal Bancorp Inc Of Louisiana,Forward,2 for 1
"Mar 26, 2021",GRNT,Granite Ridge Resources Inc,Forward,2.5 for 1
"Mar 18, 2021",ELP,Energy Co Of Parana,Forward,10 for 1
"Mar 15, 2021",VRNS,Varonis Systems Inc,Forward,3 for 1
"Mar 12, 2021",EDU,New Oriental Education & Technology Group Inc,Forward,10 for 1
"Mar 5, 2021",APH,Amphenol Corp,Forward,2 for 1
"Mar 4, 2021",TR,Tootsie Roll Industries Inc,Forward,1.03 for 1
"Mar 3, 2021",CLWT,Euro Tech Holdings Co Ltd.,Forward,1.5 for 1
"Mar 2, 2021",MDC,Mdc Holdings Inc,Forward,1.08 for 1
"Mar 2, 2021",HWKN,Hawkins Inc,Forward,2 for 1
"Feb 22, 2021",FIZZ,National Beverage Corp,Forward,2 for 1
"Feb 16, 2021",EXPI,Exp World Holdings Inc,Forward,2 for 1
"Jan 28, 2021",LSI,Life Storage Inc,Forward,1.5 for 1
