Date,Symbol,Company Name,Type,Split Ratio
"Dec 28, 2017",GGG,Graco Inc,Forward,3 for 1
"Dec 21, 2017",ELYS,Elys Game Technology Corp,Forward,2 for 1
"Dec 19, 2017",NSP,Insperity Inc,Forward,2 for 1
"Dec 12, 2017",GXXM,Gex Management Inc,Forward,1.33 for 1
"Dec 11, 2017",PATK,Patrick Industries Inc,Forward,1.5 for 1
"Dec 7, 2017",SUM,Summit Materials Inc,Forward,1.01 for 1
"Dec 7, 2017",FGBI,First Guaranty Bancshares Inc,Forward,1.1 for 1
"Dec 4, 2017",MDC,Mdc Holdings Inc,Forward,1.08 for 1
"Dec 4, 2017",CGNX,Cognex Corp,Forward,2 for 1
"Dec 4, 2017",CASS,Cass Information Systems Inc,Forward,1.1 for 1
"Dec 1, 2017",PEBK,Peoples Bancorp Of North Carolina Inc,Forward,1.1 for 1
"Nov 30, 2017",LARK,Landmark Bancorp Inc,Forward,1.05 for 1
"Nov 29, 2017",CNX,Cnx Resources Corp,Forward,1.2 for 1
"Nov 29, 2017",CBSH,Commerce Bancshares Inc,Forward,1.05 for 1
"Nov 22, 2017",GOLLQ,Gol Intelligent Airlines Inc,Forward,2 for 1
"Nov 15, 2017",UFPI,Ufp Industries Inc,Forward,3 for 1
"Nov 9, 2017",YUANF,Fincera Inc,Forward,2 for 1
"Oct 23, 2017",CVLY,Codorus Valley Bancorp Inc,Forward,1.05 for 1
"Oct 6, 2017",ISRG,Intuitive Surgical Inc,Forward,3 for 1
"Oct 5, 2017",SBSW,Sibanye Stillwater Ltd.,Forward,1.02 for 1
"Sep 29, 2017",FDBC,Fidelity D & D Bancorp Inc,Forward,1.5 for 1
"Sep 21, 2017",FMAO,Farmers & Merchants Bancorp Inc,Forward,2 for 1
"Sep 20, 2017",BAYRY,Bayer Aktiengesellschaft,Forward,4 for 1
"Sep 19, 2017",VGR,Vector Group Ltd.,Forward,1.05 for 1
"Sep 19, 2017",AROW,Arrow Financial Corp,Forward,1.03 for 1
"Sep 18, 2017",NWFL,Norwood Financial Corp,Forward,1.5 for 1
"Sep 15, 2017",HSIC,Henry Schein Inc,Forward,2 for 1
"Aug 16, 2017",TAL,Tal Education Group,Forward,6 for 1
"Aug 16, 2017",CALB,California Bancorp,Forward,1.05 for 1
"Aug 1, 2017",BANF,Bancfirst Corp,Forward,2 for 1
"Jul 20, 2017",BCH,Bank Of Chile,Forward,1.03 for 1
"Jul 13, 2017",BKJ,Bancorp Of New Jersey Inc,Forward,1.05 for 1
"Jul 10, 2017",MRTN,Marten Transport Ltd.,Forward,1.67 for 1
"Jun 22, 2017",WIT,Wipro Ltd.,Forward,2 for 1
"Jun 19, 2017",WCN,Waste Connections Inc,Forward,1.5 for 1
"Jun 19, 2017",IBN,Icici Bank Ltd.,Forward,1.1 for 1
"Jun 14, 2017",CZFS,Citizens Financial Services Inc,Forward,1.05 for 1
"Jun 13, 2017",HWBK,Hawthorn Bancshares Inc,Forward,1.04 for 1
"Jun 9, 2017",DST,Dst Systems Inc,Forward,2 for 1
"May 30, 2017",SLGN,Silgan Holdings Inc,Forward,2 for 1
"May 30, 2017",FNBG,Fnb Bancorp,Forward,1.5 for 1
"May 25, 2017",SBSI,Southside Bancshares Inc,Forward,1.03 for 1
"May 17, 2017",BALL,Ball Corp,Forward,2 for 1
"May 8, 2017",COFS,Choiceone Financial Services Inc,Forward,1.05 for 1
"May 3, 2017",PKBK,Parke Bancorp Inc,Forward,1.1 for 1
"May 3, 2017",CX,Cemex SAB de CV,Forward,1.04 for 1
"May 2, 2017",GOLLQ,Gol Intelligent Airlines Inc,Forward,2 for 1
"May 2, 2017",BBD,Bank Bradesco,Forward,1.1 for 1
"Apr 25, 2017",GEO,Geo Group Inc,Forward,1.5 for 1
"Apr 24, 2017",GABC,German American Bancorp Inc,Forward,1.5 for 1
"Apr 19, 2017",HEI,Heico Corp,Forward,1.25 for 1
"Apr 11, 2017",CPRT,Copart Inc,Forward,2 for 1
"Apr 5, 2017",UBFO,United Security Bancshares,Forward,1.01 for 1
"Apr 5, 2017",MKTAY,Makita Corp,Forward,2 for 1
"Apr 3, 2017",PLUS,Eplus Inc,Forward,2 for 1
"Mar 22, 2017",BHB,Bar Harbor Bankshares,Forward,1.5 for 1
"Mar 15, 2017",SSBI,Summit State Bank,Forward,1.25 for 1
"Mar 14, 2017",SIEGY,Siemens Aktiengesellschaft,Forward,2 for 1
"Mar 7, 2017",HNNA,Hennessy Advisors Inc,Forward,1.5 for 1
"Mar 3, 2017",TR,Tootsie Roll Industries Inc,Forward,1.03 for 1
"Mar 2, 2017",RGCO,Rgc Resources Inc,Forward,1.5 for 1
"Feb 21, 2017",CMCSA,Comcast Corp,Forward,2 for 1
"Feb 7, 2017",TRCB,Two River Bancorp,Forward,1.05 for 1
"Jan 25, 2017",OTEX,Open Text Corp,Forward,2 for 1
"Jan 23, 2017",NAVG,Navigators Group Inc,Forward,2 for 1
"Jan 19, 2017",FFWM,First Foundation Inc,Forward,2 for 1
"Jan 11, 2017",SNFCA,Security National Financial Corp,Forward,1.05 for 1
"Jan 4, 2017",IART,Integra Lifesciences Holdings Corp,Forward,2 for 1
