Date,Symbol,Company Name,Type,Split Ratio
"Dec 30, 2013",PZZA,Papa Johns International Inc,Forward,2 for 1
"Dec 23, 2013",VFC,V F Corp,Forward,4 for 1
"Dec 20, 2013",MD,Pediatrix Medical Group Inc,Forward,2 for 1
"Dec 17, 2013",MDSO,Medidata Solutions Inc,Forward,2 for 1
"Dec 17, 2013",FI,Fiserv Inc,Forward,2 for 1
"Dec 17, 2013",BWA,Borgwarner Inc,Forward,2 for 1
"Dec 12, 2013",BIOL,Biolase Inc,Forward,1.01 for 1
"Dec 11, 2013",SHIIY,Sinopec Shanghai Petrochemical Co Ltd.,Forward,1.5 for 1
"Dec 11, 2013",GRC,Gorman Rupp Co.,Forward,1.25 for 1
"Dec 4, 2013",TSLX,Sixth Street Specialty Lending Inc,Forward,66.68 for 1
"Dec 3, 2013",ALU,Alcatel Lucent,Forward,1.04 for 1
"Dec 2, 2013",CNI,Canadian National Railway Co.,Forward,2 for 1
"Nov 29, 2013",STGW,Stagwell Inc,Forward,1.5 for 1
"Nov 29, 2013",MHH,Mastech Digital Inc,Forward,1.25 for 1
"Nov 27, 2013",LARK,Landmark Bancorp Inc,Forward,1.05 for 1
"Nov 27, 2013",FNBG,Fnb Bancorp,Forward,1.05 for 1
"Nov 26, 2013",CBSH,Commerce Bancshares Inc,Forward,1.05 for 1
"Nov 21, 2013",NVGS,Navigator Holdings Ltd.,Forward,3 for 1
"Nov 11, 2013",ABV,American Beverage Co Ambev,Forward,5 for 1
"Nov 11, 2013",ABEV,Ambev SA,Forward,5 for 1
"Nov 4, 2013",WWW,Wolverine World Wide Inc,Forward,2 for 1
"Nov 4, 2013",DBI,Designer Brands Inc,Forward,2 for 1
"Oct 31, 2013",NEOG,Neogen Corp,Forward,1.5 for 1
"Oct 23, 2013",HEI.A,Heico Corp,Forward,1.25 for 1
"Oct 23, 2013",HEI,Heico Corp,Forward,1.25 for 1
"Oct 18, 2013",CVLY,Codorus Valley Bancorp Inc,Forward,1.05 for 1
"Oct 9, 2013",UBFO,United Security Bancshares,Forward,1.01 for 1
"Oct 9, 2013",KYOCY,Kyocera Corp,Forward,2 for 1
"Oct 8, 2013",ATRO,Astronics Corp,Forward,1.2 for 1
"Oct 2, 2013",SHOO,Steven Madden Ltd.,Forward,1.5 for 1
"Sep 27, 2013",WST,West Pharmaceutical Services Inc,Forward,2 for 1
"Sep 27, 2013",TSCO,Tractor Supply Co.,Forward,2 for 1
"Sep 17, 2013",CGNX,Cognex Corp,Forward,2 for 1
"Sep 17, 2013",AROW,Arrow Financial Corp,Forward,1.02 for 1
"Sep 17, 2013",AFOP,Alliance Fiber Optic Products Inc,Forward,2 for 1
"Sep 12, 2013",VGR,Vector Group Ltd.,Forward,1.05 for 1
"Sep 9, 2013",DVA,Davita Inc,Forward,2 for 1
"Sep 4, 2013",AWR,American States Water Co.,Forward,2 for 1
"Sep 3, 2013",WTRG,Essential Utilities Inc,Forward,1.25 for 1
"Sep 3, 2013",DUOT,Duos Technologies Group Inc,Forward,3 for 1
"Aug 23, 2013",BIOL,Biolase Inc,Forward,1.01 for 1
"Aug 19, 2013",WBK,Westpac Banking Corp,Forward,5 for 1
"Aug 16, 2013",CSWC,Capital Southwest Corp,Forward,4 for 1
"Aug 16, 2013",AFSI,Amtrust Financial Services Inc,Forward,1.1 for 1
"Aug 15, 2013",CTRA,Coterra Energy Inc,Forward,2 for 1
"Aug 2, 2013",PRAA,Pra Group Inc,Forward,3 for 1
"Jul 26, 2013",BEN,Franklin Resources Inc,Forward,3 for 1
"Jul 18, 2013",SRC,Spirit Realty Capital Inc,Forward,1.9 for 1
"Jul 16, 2013",ELS,Equity Lifestyle Properties Inc,Forward,2 for 1
"Jul 15, 2013",CMD,Cantel Medical Corp,Forward,1.5 for 1
"Jul 10, 2013",UBFO,United Security Bancshares,Forward,1.01 for 1
"Jul 3, 2013",AAON,Aaon Inc,Forward,1.5 for 1
"Jul 2, 2013",SNPTY,China Petroleum & Chemical Corp,Forward,1.3 for 1
"Jul 2, 2013",OGE,Oge Energy Corp,Forward,2 for 1
"Jul 1, 2013",MMS,Maximus Inc,Forward,2 for 1
"Jul 1, 2013",CERN,Cerner Corp,Forward,2 for 1
"Jun 27, 2013",SIX,Six Flags Entertainment Corp,Forward,2 for 1
"Jun 27, 2013",CRVL,Corvel Corp,Forward,2 for 1
"Jun 24, 2013",INBK,First Internet Bancorp,Forward,1.5 for 1
"Jun 24, 2013",FLS,Flowserve Corp,Forward,3 for 1
"Jun 20, 2013",FLO,Flowers Foods Inc,Forward,1.5 for 1
"Jun 19, 2013",CZFS,Citizens Financial Services Inc,Forward,1.05 for 1
"Jun 17, 2013",MRTN,Marten Transport Ltd.,Forward,1.5 for 1
"Jun 14, 2013",SAIA,Saia Inc,Forward,1.5 for 1
"Jun 13, 2013",HOMB,Home Bancshares Inc,Forward,2 for 1
